"Pre","In_p","Post","Classifier","Mean.Difference","Disparate.Impact","Theil.Index","Average.Odds.Difference","Equal.Opportunity.Difference","Accuracy","Precision","Recall","Dataset","Sens_Attr","Valid","Time","Failed","Orig.Mean.Difference","Orig.Disparate.Impact","AUC","Orig.Theil","Orig.Av.Odds","Orig.Eq.Opp.Diff","Ovr_Rank","Combo"
"di1","pr2","eop3","-",-0.0505035631772477,0.752414794253946,0.143124629855091,0.00786989419436764,0.0235987261146496,0.824635117204777,0.683885457608085,0.543507362784471,"Adult","Race","Valid",49.7,"",-0.104111483518271,0.603141919758867,0.905070950993285,0.129656738196464,0.023372121648678,0.0519524742773151,30,"di1+pr2+eop3+-"
"rw1","-","eop2","Naive Bayes",-0.0492088607594937,0.835970464135021,0.111537422115595,0.0253246983977181,0.0509333659970602,0.810260946483857,0.599019238023387,0.708612226684516,"Adult","Race","Valid",0.19,"",-0.104111483518271,0.603141919758867,0.896324547212975,0.0924447180144809,-0.12270491851866,-0.132057814796668,43,"rw1+-+eop2+Naive Bayes"
"rw1","-","roc2","Naive Bayes",-0.0448024795808792,0.881682521677108,0.0844194367410537,0.0419746652414914,0.0746251837334641,0.797103051747015,0.560273159144893,0.842034805890228,"Adult","Race","Valid",18.49,"",-0.104111483518271,0.603141919758867,0.896324547212975,0.0924447180144809,-0.12270491851866,-0.132057814796668,33,"rw1+-+roc2+Naive Bayes"
"-","-","eop1","Logistic Regression",-0.0390997689629364,0.81519064244736,0.130231931824806,0.026981144205069,0.0469524742773151,0.837129588677576,0.706008583690987,0.587237840249888,"Adult","Race","Valid",0.24,"",-0.104111483518271,0.603141919758867,0.878083224826069,0.129656738196464,0.023372121648678,0.0519524742773151,15,"-+-+eop1+Logistic Regression"
"-","-","roc1","Naive Bayes",-0.0440512023689434,0.883190744911254,0.0850014201436517,0.0434973472945299,0.0775649191572759,0.797213622291022,0.560655737704918,0.839357429718876,"Adult","Race","Valid",18.12,"",-0.104111483518271,0.603141919758867,0.896225042591192,0.0924447180144809,-0.12270491851866,-0.132057814796668,40,"-+-+roc1+Naive Bayes"
"-","-","-","Logistic Regression",-0.0485934398490124,0.770317763046588,0.129656738196464,0.023372121648678,0.0519524742773151,0.838677576293675,0.711123110151188,0.58768406961178,"Adult","Race","Valid",0.21,"",-0.104111483518271,0.603141919758867,0.878083224826069,0.129656738196464,0.023372121648678,0.0519524742773151,24,"-+-+-+Logistic Regression"
"-","pr1","-","-",-0.093134375711822,0.561919321016944,0.123169171975954,-0.0494770403516922,-0.0670553650171484,0.850508624502433,0.746260387811634,0.601070950468541,"Adult","Race","Valid",28.28,"",-0.104111483518271,0.603141919758867,0.904468282262275,0.129656738196464,0.023372121648678,0.0519524742773151,34,"-+pr1+-+-"
"rw1","pr2","-","-",-0.093134375711822,0.561919321016944,0.123169171975954,-0.0494770403516922,-0.0670553650171484,0.850508624502433,0.746260387811634,0.601070950468541,"Adult","Race","Valid",29.97,"",-0.104111483518271,0.603141919758867,0.904468282262275,0.129656738196464,0.023372121648678,0.0519524742773151,34,"rw1+pr2+-+-"
"di1","-","roc2","Naive Bayes",-0.0542664573232241,0.834951900713572,0.0959406993684298,0.0292054377148316,0.0602792748652621,0.815126050420168,0.597934595524957,0.775100401606426,"Adult","Race","Valid",20.97,"",-0.104111483518271,0.603141919758867,0.894724536508193,0.0924447180144809,-0.12270491851866,-0.132057814796668,62,"di1+-+roc2+Naive Bayes"
"-","egr_fp1","roc2","-",0.0276658748495005,1.12098960445706,0.123403327823557,0.065840806692288,0.0398162665360118,0.831269349845201,0.669995244888255,0.628737170905846,"Adult","Race","Valid",101.87,"",-0.104111483518271,0.603141919758867,0.781549835974797,0.129656738196464,0.023372121648678,0.0519524742773151,38,"-+egr_fp1+roc2+-"
"rw1","egr_fp2","roc3","-",0.0276658748495005,1.12098960445706,0.123403327823557,0.065840806692288,0.0398162665360118,0.831269349845201,0.669995244888255,0.628737170905846,"Adult","Race","Valid",110.62,"",-0.104111483518271,0.603141919758867,0.781549835974797,0.129656738196464,0.023372121648678,0.0519524742773151,38,"rw1+egr_fp2+roc3+-"
