Pre,In_p,Post,Classifier,Ovr_Rank,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,Failed,Orig Mean Difference,Orig Disparate Impact,AUC,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Perf_Rank,Fair_Rank,Rank
-,pr1,-,-,1.0,-0.19318361975589501,0.29056994776462736,0.12406914515458475,-0.08415253017106514,-0.07928835669781942,0.8440955329500222,0.7199576495500265,0.606871932173137,Adult,Sex,Valid,{64.82},,-0.2080206077901172,0.3419181397306397,0.9017715889445053,0.1386533257922388,-0.07365607890313584,-0.06768399532710284,3,23.0,73.0,1.0
rw1,pr2,-,-,1.0,-0.19318361975589501,0.29056994776462736,0.12406914515458475,-0.08415253017106514,-0.07928835669781942,0.8440955329500222,0.7199576495500265,0.606871932173137,Adult,Sex,Valid,{71.81},,-0.2080206077901172,0.3419181397306397,0.9017715889445053,0.1386533257922388,-0.07365607890313584,-0.06768399532710284,3,23.0,73.0,1.0
-,gsr_eo1,-,-,3.0,-0.19328018412641396,0.2788797061524334,0.1252615708757935,-0.08727169123973567,-0.08549941588785048,0.8448695267580717,0.7264864864864865,0.5997322623828648,Adult,Sex,Valid,{19.9},,-0.2080206077901172,0.3419181397306397,0.9006149871014593,0.1386533257922388,-0.07365607890313584,-0.06768399532710284,3,23.25,73.0,3.0
rw1,gsr_eo2,-,-,3.0,-0.19328018412641396,0.2788797061524334,0.1252615708757935,-0.08727169123973567,-0.08549941588785048,0.8448695267580717,0.7264864864864865,0.5997322623828648,Adult,Sex,Valid,{19.53},,-0.2080206077901172,0.3419181397306397,0.9006149871014593,0.1386533257922388,-0.07365607890313584,-0.06768399532710284,3,23.25,73.0,3.0
di1,gsr_eo2,-,-,5.0,-0.21904635200651007,0.26370362917125506,0.11778996472406959,-0.11604753537942186,-0.12406055295950158,0.8433215391419726,0.7019607843137254,0.6390004462293619,Adult,Sex,Valid,{23.29},,-0.2080206077901172,0.3419181397306397,0.9009658442022618,0.1386533257922388,-0.07365607890313584,-0.06768399532710284,2,26.5,72.5,5.0
di1,pr2,-,-,6.0,-0.23088529904466684,0.2552324448235229,0.11470139065938569,-0.1238239402059311,-0.12826616043613714,0.8426581158779302,0.6931067044381491,0.6550647032574743,Adult,Sex,Valid,{46.16},,-0.2080206077901172,0.3419181397306397,0.9011845969469201,0.1386533257922388,-0.07365607890313584,-0.06768399532710284,2,27.5,72.5,6.0
-,gsr_eo1,-,-,7.0,-0.08788235006996192,0.5947097311533469,0.1252615708757935,-0.037487723879311804,-0.04362567368936787,0.8448695267580717,0.7264864864864865,0.5997322623828648,Adult,Race,Valid,{18.42},,-0.10411148351827143,0.6031419197588673,0.9006149871014593,0.1386533257922388,0.0331123516339807,0.05467907888290047,4,23.25,79.0,7.0
rw1,gsr_eo2,-,-,7.0,-0.08788235006996192,0.5947097311533469,0.1252615708757935,-0.037487723879311804,-0.04362567368936787,0.8448695267580717,0.7264864864864865,0.5997322623828648,Adult,Race,Valid,{20.03},,-0.10411148351827143,0.6031419197588673,0.9006149871014593,0.1386533257922388,0.0331123516339807,0.05467907888290047,4,23.25,79.0,7.0
di1,pr2,-,-,9.0,-0.13511437961667372,0.4836984904628087,0.11343917006436778,-0.09922978668330924,-0.132609015188633,0.8393409995577178,0.6794171220400729,0.6657742079428827,Adult,Race,Valid,{42.06},,-0.10411148351827143,0.6031419197588673,0.8987040982457604,0.1386533257922388,0.0331123516339807,0.05467907888290047,2,37.75,67.0,9.0
-,-,-,Random Forest,10.0,-0.2009610981952108,0.31463351463351463,0.11781176407551307,-0.08145648167493143,-0.06744548286604368,0.8423264042459089,0.6982968369829684,0.640339134315038,Adult,Sex,Valid,{2.94},,-0.2080206077901172,0.3419181397306397,0.8877383871973431,0.11781176407551307,-0.08145648167493143,-0.06744548286604368,2,38.5,69.5,10.0
-,pr1,-,-,11.0,-0.09642543360124955,0.5676139058111115,0.12395841661150021,-0.05467251700797463,-0.07440470357667806,0.843874391862008,0.7187335092348285,0.607764390896921,Adult,Race,Valid,{66.24},,-0.10411148351827143,0.6031419197588673,0.8993358902807074,0.1386533257922388,0.0331123516339807,0.05467907888290047,3,29.75,79.0,11.0
rw1,pr2,-,-,11.0,-0.09642543360124955,0.5676139058111115,0.12395841661150021,-0.05467251700797463,-0.07440470357667806,0.843874391862008,0.7187335092348285,0.607764390896921,Adult,Race,Valid,{64.84},,-0.10411148351827143,0.6031419197588673,0.8993358902807074,0.1386533257922388,0.0331123516339807,0.05467907888290047,3,29.75,79.0,11.0
rw1,gsr_eo2,eop3,-,13.0,-0.057446470990205306,0.7136876718105079,0.1351145329237582,-0.0002580405686379572,0.009000489955903967,0.8380141530296329,0.7227324913892078,0.5618027666220438,Adult,Race,Valid,{19.36},,-0.10411148351827143,0.6031419197588673,0.9006149871014593,0.1386533257922388,0.0331123516339807,0.05467907888290047,4,35.25,75.5,13.0
-,gsr_eo1,eop2,-,14.0,-0.057446470990205306,0.7136876718105079,0.13543900205450599,5.766895094312663e-05,0.009980401763841185,0.8375718708536046,0.7215843857634903,0.5609103078982597,Adult,Race,Valid,{18.12},,-0.10411148351827143,0.6031419197588673,0.9006149871014593,0.1386533257922388,0.0331123516339807,0.05467907888290047,4,36.0,75.5,14.0
