Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,Failed,Orig Mean Difference,Orig Disparate Impact,AUC,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
di1,-,eop2,Logistic Regression,-0.06514757085678957,0.6954037852969814,0.13366105466417005,-0.01115146275347343,-0.007168054875061336,0.8331490490933215,0.6976241900647948,0.5765283355644801,Adult,Race,Valid,{4.67},,-0.10411148351827143,0.6031419197588673,0.8735295273241857,0.13570907687782385,0.027484457792265368,0.05439000489955903,4,14.0,9.0
di1,-,-,Logistic Regression,-0.041335703361426585,0.8000051168209584,0.13180525885189234,0.027031667448211984,0.051261636452719306,0.8379035824856258,0.71326362135388,0.5783132530120482,Adult,Race,Valid,{4.67},,-0.10411148351827143,0.6031419197588673,0.8735295273241857,0.13570907687782385,0.027484457792265368,0.05439000489955903,4,15.0,47.0
rw1,pr2,eop3,-,-0.07161823565780481,0.6386576696383129,0.13952316619005314,-0.018103859251451273,-0.011790788829005305,0.8344758956214064,0.718566392479436,0.5457385095939313,Adult,Race,Valid,{48.76},,-0.10411148351827143,0.6031419197588673,0.8988319718516709,0.13570907687782385,0.027484457792265368,0.05439000489955903,3,16.0,32.0
-,pr1,roc2,-,-0.03139500829781,0.9144172513815831,0.08837137237186095,0.057401893698790604,0.09471337579617833,0.7979876160990712,0.5631482611348383,0.8237394020526551,Adult,Race,Valid,{71.87},,-0.10411148351827143,0.6031419197588673,0.8988319718516709,0.13570907687782385,0.027484457792265368,0.05439000489955903,2,17.0,40.0
rw1,pr2,roc3,-,-0.03139500829781,0.9144172513815831,0.08837137237186095,0.057401893698790604,0.09471337579617833,0.7979876160990712,0.5631482611348383,0.8237394020526551,Adult,Race,Valid,{71.53},,-0.10411148351827143,0.6031419197588673,0.8988319718516709,0.13570907687782385,0.027484457792265368,0.05439000489955903,2,17.0,40.0
-,-,-,Logistic Regression,-0.0412779440955387,0.7922752877986474,0.13570907687782385,0.027484457792265368,0.05439000489955903,0.8370190181335693,0.7197707736389685,0.5604640785363677,Adult,Race,Valid,{0.28},,-0.10411148351827143,0.6031419197588673,0.8745506795667161,0.13570907687782385,0.027484457792265368,0.05439000489955903,1,19.0,33.0
-,egr_fp1,-,-,-0.06776910936839023,0.676339060229542,0.13390340834171185,-0.00840714202950578,0.003711415972562415,0.8355816010614773,0.7085176991150443,0.571619812583668,Adult,Race,Valid,{59.51},,-0.10411148351827143,0.6031419197588673,0.7781978027254296,0.13570907687782385,0.027484457792265368,0.05439000489955903,4,20.0,11.0
di1,-,eop2,Naive Bayes,-0.05696243207184931,0.8568579710855984,0.09814306507395852,0.011072720859355886,0.026962273395394365,0.7613887660327289,0.5117663736886873,0.8054439982150825,Adult,Race,Valid,{4.32},,-0.10411148351827143,0.6031419197588673,0.8928929496219973,0.09777133936127072,-0.10404227620990618,-0.1060901518863302,3,20.0,44.0
di1,pr2,roc3,-,-0.03834686472942633,0.8958678507522035,0.08734671594749616,0.051891226822124256,0.09079372856442924,0.7993144626271561,0.5648994515539305,0.8273092369477911,Adult,Race,Valid,{76.99},,-0.10411148351827143,0.6031419197588673,0.8985829807216192,0.13570907687782385,0.027484457792265368,0.05439000489955903,2,22.0,46.0
di1,gsr_eo2,roc3,-,-0.040082489993817305,0.897990915226726,0.08647981633265842,0.036702687033843065,0.05717540421362077,0.7826183104820875,0.5392520696545818,0.8429272646140116,Adult,Race,Valid,{46.56},,-0.10411148351827143,0.6031419197588673,0.8985593672319409,0.13570907687782385,0.027484457792265368,0.05439000489955903,2,23.0,19.0
