Pre,In_p,Post,Classifier,Ovr_Rank,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,AUC,Orig Disparate Impact,Orig Mean Difference,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Perf_Rank,Fair_Rank,Rank
rw1,-,cpp2,Random Forest,1.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8487506449472986,0.8443133980908356,0.8487506449472986,Adult,Sex,Valid,{3.48},0.780935317929652,0.3637327995448817,-0.20160953504822413,0.11632460517917385,-0.08069194185692163,-0.0775124165300255,3,8.25,37.0,1.0
rw1,-,cpp2,Random Forest,2.0,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8491191862607799,0.8444675594607041,0.8491191862607799,Adult,Race,Valid,{3.43},0.7801111494000091,0.629841682713473,-0.09825523584016566,0.11667588017933721,-0.036579731079690675,-0.02632414721903953,3,8.0,38.0,2.0
-,-,cpp1,Random Forest,3.0,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8480135623203361,0.8437075372767476,0.8480135623203361,Adult,Race,Valid,{32.03},0.7808321687928549,0.629841682713473,-0.09825523584016566,0.11667588017933721,-0.036579731079690675,-0.02632414721903953,3,12.25,38.0,3.0
-,-,cpp1,Random Forest,4.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8483083953711211,0.8436604753500273,0.8483083953711211,Adult,Sex,Valid,{3.56},0.7792776299133652,0.3637327995448817,-0.20160953504822413,0.11632460517917385,-0.08069194185692163,-0.0775124165300255,3,14.0,37.0,4.0
rw1,-,eop2,Random Forest,4.0,-0.11172463240296956,0.6209136084861492,0.023260421952240918,0.07322341782340051,0.0698795180722892,0.8490454779980836,0.8442516403985243,0.8490454779980836,Adult,Sex,Valid,{67.93},0.7791861694728197,0.3637327995448817,-0.20160953504822413,0.11632460517917385,-0.08069194185692163,-0.0775124165300255,4,10.5,40.5,4.0
-,-,eop1,Random Forest,6.0,-0.04978295373988331,0.8050711858439349,0.01075995026082033,0.041999370505774423,0.03786407766990296,0.8497825606250461,0.8449321010359234,0.8497825606250461,Adult,Race,Valid,{3.2},0.7795812329756304,0.629841682713473,-0.09825523584016566,0.11667588017933721,-0.036579731079690675,-0.02632414721903953,2,7.25,45.5,6.0
rw1,-,-,Random Forest,7.0,-0.10236730865759588,0.5658805682757473,0.11687544581416294,-0.04661712981977329,-0.04495768759171037,0.8491928945234761,0.844470893496321,0.8491928945234761,Adult,Race,Valid,{3.11},0.7797711670744724,0.629841682713473,-0.09825523584016566,0.11667588017933721,-0.036579731079690675,-0.02632414721903953,1,7.75,46.0,7.0
di1,-,-,Random Forest,8.0,-0.20395614860905642,0.2986234169362982,0.1163399698524899,-0.10259064668504747,-0.11295019469254874,0.8480135623203361,0.8436341821069955,0.8480135623203361,Adult,Sex,Valid,{23.53},0.78044294963817,0.3637327995448817,-0.20160953504822413,0.11632460517917385,-0.08069194185692163,-0.0775124165300255,1,13.25,42.0,8.0
di1,-,cpp2,Random Forest,9.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8476450210068549,0.8429574107224399,0.8476450210068549,Adult,Sex,Valid,{176.87},0.778347974507675,0.3637327995448817,-0.20160953504822413,0.11632460517917385,-0.08069194185692163,-0.0775124165300255,3,18.75,37.0,9.0
-,-,eop1,Random Forest,10.0,-0.10978880453157092,0.6241434802294838,0.02499352453457945,0.07696882081254103,0.0781411359724613,0.8480135623203361,0.8433347641906902,0.8480135623203361,Adult,Sex,Valid,{54.28},0.7787887682307586,0.3637327995448817,-0.20160953504822413,0.11632460517917385,-0.08069194185692163,-0.0775124165300255,3,16.0,40.5,10.0
