Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,AUC,Orig Disparate Impact,Orig Mean Difference,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
di1,mfc_fdr2,roc3,-,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8497088523623498,0.8430978545829286,0.8497088523623498,Adult,Race,Valid,{3572.24},0.7607815947962662,0.6333621660042759,-0.09576759945316368,0.13382205274527773,0.02627845635516482,0.05020938863533775,3,1.0,27.0
di1,mfc_sr2,roc3,-,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8497088523623498,0.8430978545829286,0.8497088523623498,Adult,Race,Valid,{962.16},0.7607815947962662,0.6333621660042759,-0.09576759945316368,0.13382205274527773,0.02627845635516482,0.05020938863533775,3,1.0,27.0
-,-,roc1,Random Forest,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8433699417704724,0.8389719547480659,0.8433699417704724,Adult,Race,Valid,{636.24},0.7733218427355221,0.6333621660042759,-0.09576759945316368,0.1198876762392999,-0.03120581947285585,-0.012414948927562452,3,3.0,3.0
rw1,-,roc2,Random Forest,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8432962335077763,0.838552145034826,0.8432962335077763,Adult,Race,Valid,{619.1},0.7715775151919849,0.6333621660042759,-0.09576759945316368,0.1198876762392999,-0.03120581947285585,-0.012414948927562452,3,4.0,2.0
-,-,cpp1,Random Forest,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8418220682538513,0.8372877417081227,0.8418220682538513,Adult,Race,Valid,{32.03},0.7708967796110724,0.6333621660042759,-0.09576759945316368,0.1198876762392999,-0.03120581947285585,-0.012414948927562452,3,5.0,4.0
di1,-,roc2,Random Forest,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8406427360507113,0.8376383292921719,0.8406427360507113,Adult,Race,Valid,{442.2},0.7758969238872011,0.6333621660042759,-0.09576759945316368,0.1198876762392999,-0.03120581947285585,-0.012414948927562452,3,6.0,12.0
-,-,cpp1,Logistic Regression,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8413798186776738,0.833757366034689,0.8413798186776738,Adult,Race,Valid,{1.7},0.7479651382238179,0.6333621660042759,-0.09576759945316368,0.13382205274527773,0.02627845635516482,0.05020938863533775,3,7.0,5.0
-,-,roc1,Logistic Regression,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8413798186776738,0.833757366034689,0.8413798186776738,Adult,Race,Valid,{343.41},0.7479651382238179,0.6333621660042759,-0.09576759945316368,0.13382205274527773,0.02627845635516482,0.05020938863533775,3,7.0,5.0
rw1,-,cpp2,Logistic Regression,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8413798186776738,0.833757366034689,0.8413798186776738,Adult,Race,Valid,{11.85},0.7479651382238179,0.6333621660042759,-0.09576759945316368,0.13382205274527773,0.02627845635516482,0.05020938863533775,3,7.0,5.0
rw1,-,roc2,Logistic Regression,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8413798186776738,0.833757366034689,0.8413798186776738,Adult,Race,Valid,{642.64},0.7479651382238179,0.6333621660042759,-0.09576759945316368,0.13382205274527773,0.02627845635516482,0.05020938863533775,3,7.0,8.0
rw1,-,cpp2,Random Forest,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8407901525761038,0.8359784398321004,0.8407901525761038,Adult,Race,Valid,{41.16},0.7684157839833677,0.6333621660042759,-0.09576759945316368,0.1198876762392999,-0.03120581947285585,-0.012414948927562452,3,11.0,1.0
di1,-,cpp2,Random Forest,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8388000294833051,0.8365839127507976,0.8388000294833051,Adult,Race,Valid,{87.92},0.7764670914894282,0.6333621660042759,-0.09576759945316368,0.1198876762392999,-0.03120581947285585,-0.012414948927562452,3,12.0,9.0
di1,-,cpp2,Random Forest,-0.19110178450400037,0.38401030294846744,0.0,0.0,0.0,0.8428539839315987,0.8393331603195892,0.8428539839315987,Adult,Sex,Valid,{12.71},0.776568988327041,0.38401030294846744,-0.19110178450400037,0.1194579037269381,-0.07785610491968291,-0.060892089561814244,3,13.0,9.0
-,-,cpp1,Naive Bayes,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8194884646568881,0.8416121255104357,0.8194884646568881,Adult,Race,Valid,{0.18},0.8056146439979236,0.6333621660042759,-0.09576759945316368,0.09438675615234735,-0.11859402187444966,-0.12409306718825752,3,14.0,13.0
-,-,roc1,Naive Bayes,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8194884646568881,0.8416121255104357,0.8194884646568881,Adult,Race,Valid,{139.98},0.8056146439979236,0.6333621660042759,-0.09576759945316368,0.09438675615234735,-0.11859402187444966,-0.12409306718825752,3,14.0,13.0
rw1,-,cpp2,Naive Bayes,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8194884646568881,0.8416121255104357,0.8194884646568881,Adult,Race,Valid,{2.3},0.8056146439979236,0.6333621660042759,-0.09576759945316368,0.09438675615234735,-0.11859402187444966,-0.12409306718825752,3,14.0,13.0
rw1,-,roc2,Naive Bayes,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8194884646568881,0.8416121255104357,0.8194884646568881,Adult,Race,Valid,{679.61},0.8056146439979236,0.6333621660042759,-0.09576759945316368,0.09438675615234735,-0.11859402187444966,-0.12409306718825752,3,14.0,13.0
