Pre,In_p,Post,Classifier,Ovr_Rank,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,AUC,Orig Disparate Impact,Orig Mean Difference,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Perf_Rank,Fair_Rank,Rank
di1,-,eop2,Random Forest,25.0,-0.038966723676824216,0.8399958975936823,0.021038060296878793,0.0637060261966443,0.08252427184466016,0.8436647748212575,0.8396381741928641,0.8436647748212575,Adult,Race,Valid,{10.22},0.7772460623524121,0.629841682713473,-0.09825523584016566,0.11665587682783216,-0.043602918454684,-0.04185209752959851,2,32.5,60.0,25.0
di1,-,-,Random Forest,26.0,-0.10431275463786241,0.5687838150783536,0.11854402602188242,-0.05106709293369844,-0.052139741502341796,0.8435173582958649,0.8392770472571668,0.8435173582958649,Adult,Race,Valid,{63.03},0.776077236018732,0.629841682713473,-0.09825523584016566,0.11665587682783216,-0.043602918454684,-0.04185209752959851,1,34.75,61.0,26.0
di1,mfc_fdr2,cpp3,-,27.0,-0.06930583286791242,0.706941808784828,0.02515339537630716,0.05453074433656957,0.10906148867313914,0.84322252524508,0.8360917401484186,0.84322252524508,Adult,Race,Valid,{5825.63},0.7514567867456534,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,2,40.5,60.5,27.0
di1,mfc_sr2,cpp3,-,27.0,-0.06921992959499773,0.7071986917095318,0.025228984022928384,0.054692556634304224,0.10938511326860845,0.84322252524508,0.8360917401484186,0.84322252524508,Adult,Race,Valid,{3506.49},0.7514567867456534,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,2,40.5,60.5,27.0
di1,mfc_fdr2,eop3,-,29.0,-0.05003058352764153,0.7960048956759107,0.019023390998669492,0.05485880767337322,0.07605177993527512,0.84322252524508,0.8360917401484186,0.84322252524508,Adult,Race,Valid,{2709.48},0.7514567867456534,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,3,40.5,61.0,29.0
di1,mfc_sr2,eop3,-,29.0,-0.05003058352764153,0.7960048956759107,0.019023390998669492,0.05485880767337322,0.07605177993527512,0.84322252524508,0.8360917401484186,0.84322252524508,Adult,Race,Valid,{3483.72},0.7514567867456534,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,3,40.5,61.0,29.0
-,-,cpp1,Naive Bayes,31.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8181617159283555,0.8408505443012178,0.8181617159283555,Adult,Sex,Valid,{0.25},0.8065271988746526,0.3637327995448817,-0.20160953504822413,0.09427432229849471,-0.21623202452456575,-0.22712388013592832,3,57.5,44.5,31.0
-,-,roc1,Naive Bayes,31.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8181617159283555,0.8408505443012178,0.8181617159283555,Adult,Sex,Valid,{343.5},0.8065271988746526,0.3637327995448817,-0.20160953504822413,0.09427432229849471,-0.21623202452456575,-0.22712388013592832,3,57.5,44.5,31.0
rw1,-,cpp2,Naive Bayes,31.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8181617159283555,0.8408505443012178,0.8181617159283555,Adult,Sex,Valid,{0.34},0.8065271988746526,0.3637327995448817,-0.20160953504822413,0.09427432229849471,-0.21623202452456575,-0.22712388013592832,3,57.5,44.5,31.0
rw1,-,roc2,Naive Bayes,31.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8181617159283555,0.8408505443012178,0.8181617159283555,Adult,Sex,Valid,{43.43},0.8065271988746526,0.3637327995448817,-0.20160953504822413,0.09427432229849471,-0.21623202452456575,-0.22712388013592832,3,57.5,44.5,31.0
di1,mfc_fdr2,roc3,-,35.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8351883246111889,0.8269820437234504,0.8351883246111889,Adult,Sex,Valid,{1284.93},0.7328565211092081,0.3637327995448817,-0.20160953504822413,0.12992452300152724,-0.138351556635548,-0.16719116533759726,3,58.0,44.5,35.0
di1,mfc_sr2,roc3,-,35.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8351883246111889,0.8269820437234504,0.8351883246111889,Adult,Sex,Valid,{685.28},0.7328565211092081,0.3637327995448817,-0.20160953504822413,0.12992452300152724,-0.138351556635548,-0.16719116533759726,3,58.0,44.5,35.0
-,-,cpp1,Naive Bayes,37.0,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8181617159283555,0.8408505443012178,0.8181617159283555,Adult,Race,Valid,{7.86},0.8065271988746526,0.629841682713473,-0.09825523584016566,0.09427432229849471,-0.11429933521939963,-0.11029769442601867,3,57.5,46.5,37.0
-,-,roc1,Naive Bayes,37.0,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8181617159283555,0.8408505443012178,0.8181617159283555,Adult,Race,Valid,{1253.45},0.8065271988746526,0.629841682713473,-0.09825523584016566,0.09427432229849471,-0.11429933521939963,-0.11029769442601867,3,57.5,46.5,37.0
rw1,-,cpp2,Naive Bayes,37.0,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8181617159283555,0.8408505443012178,0.8181617159283555,Adult,Race,Valid,{0.35},0.8065271988746526,0.629841682713473,-0.09825523584016566,0.09427432229849471,-0.11429933521939963,-0.11029769442601867,3,57.5,46.5,37.0
rw1,-,roc2,Naive Bayes,37.0,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8181617159283555,0.8408505443012178,0.8181617159283555,Adult,Race,Valid,{125.67},0.8065271988746526,0.629841682713473,-0.09825523584016566,0.09427432229849471,-0.11429933521939963,-0.11029769442601867,3,57.5,46.5,37.0
-,mfc_fdr1,roc2,-,41.0,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8351146163484927,0.8273849036194658,0.8351146163484927,Adult,Race,Valid,{4066.35},0.7256067299183869,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,3,60.0,46.5,41.0
-,mfc_sr1,roc2,-,41.0,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8351146163484927,0.8273849036194658,0.8351146163484927,Adult,Race,Valid,{4113.34},0.7256067299183869,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,3,60.0,46.5,41.0
rw1,mfc_fdr2,roc3,-,41.0,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8351146163484927,0.8273849036194658,0.8351146163484927,Adult,Race,Valid,{627.75},0.7256067299183869,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,3,60.0,46.5,41.0
rw1,mfc_sr2,roc3,-,41.0,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8351146163484927,0.8273849036194658,0.8351146163484927,Adult,Race,Valid,{2036.11},0.7256067299183869,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,3,60.0,46.5,41.0
-,-,cpp1,Logistic Regression,45.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8336404510945677,0.8275367997918285,0.8336404510945677,Adult,Sex,Valid,{11.25},0.7560514400762391,0.3637327995448817,-0.20160953504822413,0.12992452300152724,-0.138351556635548,-0.16719116533759726,3,63.0,44.5,45.0
-,-,roc1,Logistic Regression,45.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8336404510945677,0.8275367997918285,0.8336404510945677,Adult,Sex,Valid,{300.95},0.7560514400762391,0.3637327995448817,-0.20160953504822413,0.12992452300152724,-0.138351556635548,-0.16719116533759726,3,63.0,44.5,45.0
rw1,-,cpp2,Logistic Regression,45.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8336404510945677,0.8275367997918285,0.8336404510945677,Adult,Sex,Valid,{25.86},0.7560514400762391,0.3637327995448817,-0.20160953504822413,0.12992452300152724,-0.138351556635548,-0.16719116533759726,3,63.0,44.5,45.0
rw1,-,roc2,Logistic Regression,45.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8336404510945677,0.8275367997918285,0.8336404510945677,Adult,Sex,Valid,{566.82},0.7560514400762391,0.3637327995448817,-0.20160953504822413,0.12992452300152724,-0.138351556635548,-0.16719116533759726,3,63.0,44.5,45.0
di1,-,cpp2,Naive Bayes,49.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8208152133854205,0.8402226876403867,0.8208152133854205,Adult,Sex,Valid,{19.96},0.804504837965809,0.3637327995448817,-0.20160953504822413,0.09427432229849471,-0.21623202452456575,-0.22712388013592832,3,63.75,44.5,49.0
