Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,AUC,Orig Disparate Impact,Orig Mean Difference,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
-,-,roc1,Random Forest,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8484558118965136,0.8439703252251813,0.8484558118965136,Adult,Race,Valid,{39.92},0.780349151458374,0.629841682713473,-0.09825523584016566,0.11697689907656059,-0.052038408602849695,-0.056539829946330555,3,1.0,1.0
-,-,cpp1,Random Forest,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8484558118965136,0.8437308611022168,0.8484558118965136,Adult,Race,Valid,{25.27},0.7789868844169766,0.629841682713473,-0.09825523584016566,0.11697689907656059,-0.052038408602849695,-0.056539829946330555,3,2.0,3.0
rw1,-,cpp2,Random Forest,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8480872705830323,0.8435065046114275,0.8480872705830323,Adult,Race,Valid,{3.55},0.7794218337919343,0.629841682713473,-0.09825523584016566,0.11697689907656059,-0.052038408602849695,-0.056539829946330555,3,3.0,2.0
rw1,-,roc2,Random Forest,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8481609788457286,0.8435061473668874,0.8481609788457286,Adult,Race,Valid,{39.18},0.7790818514663975,0.629841682713473,-0.09825523584016566,0.11697689907656059,-0.052038408602849695,-0.056539829946330555,3,4.0,4.0
-,-,cpp1,Random Forest,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8497825606250461,0.8453731751115671,0.8497825606250461,Adult,Sex,Valid,{14.65},0.7822084622697543,0.3637327995448817,-0.20160953504822413,0.11705762668365152,-0.08028994488623924,-0.07535399416771049,3,5.0,3.0
di1,-,roc2,Random Forest,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8445492739736125,0.8402676314825321,0.8445492739736125,Adult,Race,Valid,{64.35},0.7770584659928206,0.629841682713473,-0.09825523584016566,0.11697689907656059,-0.052038408602849695,-0.056539829946330555,3,5.0,10.0
-,-,roc1,Random Forest,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8492666027861723,0.8449314436437366,0.8492666027861723,Adult,Sex,Valid,{61.01},0.7820584140430594,0.3637327995448817,-0.20160953504822413,0.11705762668365152,-0.08028994488623924,-0.07535399416771049,3,7.0,1.0
di1,-,cpp2,Random Forest,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8441807326601312,0.8399351360146925,0.8441807326601312,Adult,Race,Valid,{30.19},0.7768122818470795,0.629841682713473,-0.09825523584016566,0.11697689907656059,-0.052038408602849695,-0.056539829946330555,3,8.0,5.0
rw1,-,roc2,Random Forest,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8491928945234761,0.8446711033421924,0.8491928945234761,Adult,Sex,Valid,{264.83},0.7809388245385274,0.3637327995448817,-0.20160953504822413,0.11705762668365152,-0.08028994488623924,-0.07535399416771049,3,8.0,4.0
rw1,-,cpp2,Random Forest,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8487506449472986,0.8441403755779027,0.8487506449472986,Adult,Sex,Valid,{14.05},0.7799622700429394,0.3637327995448817,-0.20160953504822413,0.11705762668365152,-0.08028994488623924,-0.07535399416771049,3,10.0,2.0
rw1,-,eop2,Random Forest,-0.05200127418727968,0.7997529497803101,0.007153225955381566,0.03515563841206047,0.02168284789644015,0.8483083953711211,0.8439234330548147,0.8483083953711211,Adult,Race,Valid,{6.39},0.780737201743434,0.629841682713473,-0.09825523584016566,0.11697689907656059,-0.052038408602849695,-0.056539829946330555,4,11.0,19.0
di1,-,cpp2,Random Forest,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8486769366846023,0.8439215192004723,0.8486769366846023,Adult,Sex,Valid,{10.9},0.7790372901157498,0.3637327995448817,-0.20160953504822413,0.11705762668365152,-0.08028994488623924,-0.07535399416771049,3,12.0,5.0
