Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,AUC,Orig Disparate Impact,Orig Mean Difference,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
-,-,cpp1,Random Forest,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8477187292695512,0.8430431634174679,0.8477187292695512,Adult,Race,Valid,{3.41},0.7784945161254946,0.629841682713473,-0.09825523584016566,0.11761872404406976,-0.047245619860458776,-0.04547428089006811,3,1.0,1.0
rw1,-,eop2,Random Forest,-0.04900603312155455,0.8079194506504995,0.011011489780994572,0.04279652809723264,0.03883495145631066,0.8477187292695512,0.8432183875550571,0.8477187292695512,Adult,Race,Valid,{3.08},0.779467564012207,0.629841682713473,-0.09825523584016566,0.11761872404406976,-0.047245619860458776,-0.04547428089006811,4,1.0,10.0
rw1,-,cpp2,Random Forest,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8475713127441586,0.8429582569609364,0.8475713127441586,Adult,Race,Valid,{41.78},0.7786879568332119,0.629841682713473,-0.09825523584016566,0.11761872404406976,-0.047245619860458776,-0.04547428089006811,3,3.0,2.0
-,-,eop1,Random Forest,-0.04619776325004463,0.8142355226273681,0.016419027735262666,0.05275040553954917,0.06310679611650483,0.8486769366846023,0.8437928368521852,0.8486769366846023,Adult,Race,Valid,{3.04},0.7782588518063798,0.629841682713473,-0.09825523584016566,0.11761872404406976,-0.047245619860458776,-0.04547428089006811,2,4.0,6.0
di1,-,cpp2,Random Forest,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8427065674062062,0.8385505628103318,0.8427065674062062,Adult,Race,Valid,{46.35},0.7755356308981018,0.629841682713473,-0.09825523584016566,0.11761872404406976,-0.047245619860458776,-0.04547428089006811,3,5.0,5.0
rw1,-,cpp2,Random Forest,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8476450210068549,0.843061626733798,0.8476450210068549,Adult,Sex,Valid,{3.29},0.7789318032397026,0.3637327995448817,-0.20160953504822413,0.1164798318166448,-0.0871948105699303,-0.09166335672359771,3,6.0,2.0
-,-,cpp1,Random Forest,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8469816466425887,0.8425033539028733,0.8469816466425887,Adult,Sex,Valid,{3.25},0.7787805861433824,0.3637327995448817,-0.20160953504822413,0.1164798318166448,-0.0871948105699303,-0.09166335672359771,3,7.0,1.0
rw1,-,eop2,Random Forest,-0.11488780866824008,0.6143202380555016,0.02107594544316218,0.06823202367537982,0.059896729776247826,0.8497088523623498,0.8449879897457381,0.8497088523623498,Adult,Sex,Valid,{3.13},0.7803104344558522,0.3637327995448817,-0.20160953504822413,0.1164798318166448,-0.0871948105699303,-0.09166335672359771,4,8.0,10.0
di1,mfc_fdr2,eop3,-,-0.05003058352764153,0.7960048956759107,0.01902339099866949,0.05485880767337322,0.07605177993527512,0.84322252524508,0.8360917401484186,0.84322252524508,Adult,Race,Valid,{2787.66},0.7514567867456534,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,3,9.0,41.0
di1,mfc_sr2,eop3,-,-0.05003058352764153,0.7960048956759107,0.01902339099866949,0.05485880767337322,0.07605177993527512,0.84322252524508,0.8360917401484186,0.84322252524508,Adult,Race,Valid,{1205.13},0.7514567867456534,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,3,9.0,40.0
di1,-,eop2,Random Forest,-0.04103598455096985,0.8322093796424869,0.020078608295915748,0.061140837227320055,0.07864077669902914,0.8416009434657625,0.8373513389139355,0.8416009434657625,Adult,Race,Valid,{10.18},0.7738240305741662,0.629841682713473,-0.09825523584016566,0.11761872404406976,-0.047245619860458776,-0.04547428089006811,2,11.0,13.0
di1,-,cpp2,Random Forest,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8448441070243974,0.8397801508398219,0.8448441070243974,Adult,Sex,Valid,{198.36},0.7732659169738918,0.3637327995448817,-0.20160953504822413,0.1164798318166448,-0.0871948105699303,-0.09166335672359771,3,12.0,5.0
-,-,cpp1,Naive Bayes,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8181617159283555,0.8408505443012178,0.8181617159283555,Adult,Race,Valid,{0.26},0.8065271988746526,0.629841682713473,-0.09825523584016566,0.09427432229849471,-0.11429933521939963,-0.11029769442601867,3,13.0,9.0
-,-,eop1,Random Forest,-0.10564293626149365,0.6365724429098034,0.026289218302331933,0.08074796617095306,0.08261617900172114,0.8481609788457286,0.8436979086339831,0.8481609788457286,Adult,Sex,Valid,{3.28},0.7801522041417813,0.3637327995448817,-0.20160953504822413,0.1164798318166448,-0.0871948105699303,-0.09166335672359771,4,13.0,6.0
rw1,-,cpp2,Naive Bayes,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8181617159283555,0.8408505443012178,0.8181617159283555,Adult,Race,Valid,{1.91},0.8065271988746526,0.629841682713473,-0.09825523584016566,0.09427432229849471,-0.11429933521939963,-0.11029769442601867,3,13.0,8.0
-,-,-,Random Forest,-0.10280440734636229,0.562912306092402,0.11761872404406976,-0.047245619860458776,-0.04547428089006811,0.8485295201592098,0.843701791498422,0.8485295201592098,Adult,Race,Valid,{3.02},0.7784522925140972,0.629841682713473,-0.09825523584016566,0.11761872404406976,-0.047245619860458776,-0.04547428089006811,1,16.0,15.0
-,-,cpp1,Logistic Regression,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8336404510945677,0.8275367997918285,0.8336404510945677,Adult,Race,Valid,{16.7},0.7560514400762391,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,3,17.0,3.0
rw1,-,cpp2,Logistic Regression,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8336404510945677,0.8275367997918285,0.8336404510945677,Adult,Race,Valid,{36.86},0.7560514400762391,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,3,17.0,3.0
di1,-,cpp2,Naive Bayes,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.7815287093683202,0.8421287332107313,0.7815287093683202,Adult,Race,Valid,{208.78},0.809301835615948,0.629841682713473,-0.09825523584016566,0.09427432229849471,-0.11429933521939963,-0.11029769442601867,3,19.0,11.0
rw1,-,-,Random Forest,-0.10373417870003818,0.5645259378841888,0.11766070998145312,-0.05156082604169699,-0.05492170696898435,0.8468342301171962,0.8422588128758912,0.8468342301171962,Adult,Race,Valid,{3.25},0.7780982837530587,0.629841682713473,-0.09825523584016566,0.11761872404406976,-0.047245619860458776,-0.04547428089006811,1,20.0,16.0
di1,mfc_fdr2,cpp3,-,-0.06990715577831533,0.7051488404292142,0.024624434771537865,0.05339805825242716,0.10679611650485432,0.84322252524508,0.8360917401484186,0.84322252524508,Adult,Race,Valid,{4325.78},0.7514567867456534,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,2,21.0,25.0
di1,mfc_sr2,cpp3,-,-0.06818909032002135,0.7102959122571647,0.026136493727501937,0.056634304207119734,0.11326860841423947,0.84322252524508,0.8360917401484186,0.84322252524508,Adult,Race,Valid,{3112.72},0.7514567867456534,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,2,22.0,26.0
di1,-,-,Random Forest,-0.10715893613033678,0.5593651799741256,0.11629711336253092,-0.05535949593482235,-0.05990673179360395,0.8461708557529299,0.8421512999395703,0.8461708557529299,Adult,Race,Valid,{191.35},0.7801850767961774,0.629841682713473,-0.09825523584016566,0.11761872404406976,-0.047245619860458776,-0.04547428089006811,2,23.0,29.0
di1,-,eop2,Random Forest,-0.08768939236150372,0.6834896263109189,0.0362859146068542,0.10470350053863964,0.12564543889845092,0.8460971474902337,0.8414706841387418,0.8460971474902337,Adult,Sex,Valid,{10.15},0.7770220867295491,0.3637327995448817,-0.20160953504822413,0.1164798318166448,-0.0871948105699303,-0.09166335672359771,2,24.0,13.0
-,mfc_fdr1,eop2,-,-0.05524164733397008,0.7723653038531874,0.020850954078834173,0.05503736613159659,0.08576051779935279,0.8351146163484927,0.8273849036194658,0.8351146163484927,Adult,Race,Valid,{4110.98},0.7256067299183869,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,2,25.0,31.0
di1,-,eop2,Naive Bayes,0.03472080053643606,1.138990659919069,0.019780416796912444,0.09989871599318853,0.0588996763754045,0.7815287093683202,0.8421287332107313,0.7815287093683202,Adult,Race,Valid,{6.84},0.809301835615948,0.629841682713473,-0.09825523584016566,0.09427432229849471,-0.11429933521939963,-0.11029769442601867,4,25.0,21.0
-,mfc_sr1,eop2,-,-0.05524164733397008,0.7723653038531874,0.02085095407883418,0.05503736613159659,0.08576051779935279,0.8351146163484927,0.8273849036194658,0.8351146163484927,Adult,Race,Valid,{4356.49},0.7256067299183869,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,2,27.0,30.0
rw1,mfc_fdr2,eop3,-,-0.05524164733397008,0.7723653038531874,0.02085095407883418,0.05503736613159659,0.08576051779935279,0.8351146163484927,0.8273849036194658,0.8351146163484927,Adult,Race,Valid,{2747.86},0.7256067299183869,0.629841682713473,-0.09825523584016566,0.12992452300152724,0.02954000719822368,0.07825081911194198,2,27.0,32.0
