Pre,In_p,Post,Classifier,Ovr_Rank,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,AUC,Orig Disparate Impact,Orig Mean Difference,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Perf_Rank,Fair_Rank,Rank
-,-,cpp1,Random Forest,1.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8491928945234761,0.8444871871753828,0.8491928945234761,Adult,Sex,Valid,{3.38},0.7798684718631437,0.3637327995448817,-0.20160953504822413,0.11844917339723351,-0.08246201908597699,-0.0824620544731759,3,10.0,44.5,1.0
rw1,-,cpp2,Random Forest,2.0,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8493403110488685,0.8446093364910816,0.8493403110488685,Adult,Race,Valid,{5.05},0.7798696407327688,0.629841682713473,-0.09825523584016566,0.11688630737440701,-0.04860913693502375,-0.05311061528874961,3,9.0,46.0,2.0
rw1,-,cpp2,Random Forest,2.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8484558118965136,0.8439005047499455,0.8484558118965136,Adult,Sex,Valid,{3.35},0.779959932303689,0.3637327995448817,-0.20160953504822413,0.11844917339723351,-0.08246201908597699,-0.0824620544731759,3,10.5,44.5,2.0
-,-,roc1,Random Forest,4.0,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8486769366846023,0.8439875708079618,0.8486769366846023,Adult,Race,Valid,{37.66},0.779426509270435,0.629841682713473,-0.09825523584016566,0.11688630737440701,-0.04860913693502375,-0.05311061528874961,3,11.5,46.0,4.0
rw1,-,roc2,Random Forest,5.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8483083953711211,0.8436097723112074,0.8483083953711211,Adult,Sex,Valid,{840.43},0.7789857155473514,0.3637327995448817,-0.20160953504822413,0.11844917339723351,-0.08246201908597699,-0.0824620544731759,3,14.75,44.5,5.0
rw1,-,roc2,Random Forest,6.0,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8479398540576398,0.84347604724468,0.8479398540576398,Adult,Race,Valid,{38.01},0.7799071888656653,0.629841682713473,-0.09825523584016566,0.11688630737440701,-0.04860913693502375,-0.05311061528874961,3,15.25,46.0,6.0
-,-,roc1,Random Forest,7.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8477187292695512,0.8432542645673708,0.8477187292695512,Adult,Sex,Valid,{38.85},0.7796621735895495,0.3637327995448817,-0.20160953504822413,0.11844917339723351,-0.08246201908597699,-0.0824620544731759,3,18.5,44.5,7.0
-,-,cpp1,Random Forest,8.0,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8474976044814624,0.8428030618052772,0.8474976044814624,Adult,Race,Valid,{47.2},0.7781521960607074,0.629841682713473,-0.09825523584016566,0.11688630737440701,-0.04860913693502375,-0.05311061528874961,3,21.0,46.0,8.0
-,-,eop1,Random Forest,9.0,-0.11049728400909775,0.6243829811659591,0.023715708430592536,0.07446940898228063,0.07160068846815837,0.8483083953711211,0.8436435039323146,0.8483083953711211,Adult,Sex,Valid,{3.18},0.7791803251246939,0.3637327995448817,-0.20160953504822413,0.11844917339723351,-0.08246201908597699,-0.0824620544731759,4,14.0,55.0,9.0
di1,-,cpp2,Random Forest,10.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8457286061767524,0.8410402572964462,0.8457286061767524,Adult,Sex,Valid,{9.99},0.7762893786404518,0.3637327995448817,-0.20160953504822413,0.11844917339723351,-0.08246201908597699,-0.0824620544731759,3,26.0,44.5,10.0
