Pre,In_p,Post,Classifier,Ovr_Rank,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,AUC,Orig Disparate Impact,Orig Mean Difference,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Perf_Rank,Fair_Rank,Rank
-,-,eop1,Random Forest,1.0,-0.10701605691758442,0.631572208103487,0.026257945492283385,0.08019291967458733,0.0833046471600688,0.8490454779980836,0.8446211428192618,0.8490454779980836,Adult,Sex,Valid,{77.49},0.7813268748235873,0.3637327995448817,-0.20160953504822413,0.1173817129349877,-0.08103795096116673,-0.07698214667630787,3,8.0,44.0,1.0
rw1,-,roc2,Random Forest,2.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8489717697353873,0.844380258084218,0.8489717697353873,Adult,Sex,Valid,{52.85},0.7803045901077265,0.3637327995448817,-0.20160953504822413,0.1173817129349877,-0.08103795096116673,-0.07698214667630787,3,9.0,44.0,2.0
-,-,cpp1,Random Forest,3.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.848603228421906,0.844054624468395,0.848603228421906,Adult,Sex,Valid,{12.78},0.7801557107506567,0.3637327995448817,-0.20160953504822413,0.1173817129349877,-0.08103795096116673,-0.07698214667630787,3,10.5,44.0,3.0
-,-,roc1,Random Forest,4.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8479398540576398,0.8433873549296355,0.8479398540576398,Adult,Sex,Valid,{789.52},0.7794206649223091,0.3637327995448817,-0.20160953504822413,0.1173817129349877,-0.08103795096116673,-0.07698214667630787,3,13.25,44.0,4.0
rw1,-,cpp2,Random Forest,5.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8476450210068549,0.8428724876866984,0.8476450210068549,Adult,Sex,Valid,{71.43},0.7778614505643187,0.3637327995448817,-0.20160953504822413,0.1173817129349877,-0.08103795096116673,-0.07698214667630787,3,17.75,44.0,5.0
rw1,-,eop2,Random Forest,6.0,-0.11115173427087782,0.6229970034053245,0.0232631545993697,0.07343670674475913,0.06953528399311537,0.8497825606250461,0.84528758221599,0.8497825606250461,Adult,Sex,Valid,{53.72},0.781721938326398,0.3637327995448817,-0.20160953504822413,0.1173817129349877,-0.08103795096116673,-0.07698214667630787,4,7.0,55.0,6.0
di1,-,roc2,Random Forest,7.0,-0.20160953504822413,0.3637327995448817,0.0,0.0,0.0,0.8473501879560699,0.8427358023254957,0.8473501879560699,Adult,Sex,Valid,{1090.33},0.778442941557096,0.3637327995448817,-0.20160953504822413,0.1173817129349877,-0.08103795096116673,-0.07698214667630787,3,18.25,44.0,7.0
-,-,cpp1,Random Forest,8.0,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8469079383798924,0.8422205439030913,0.8469079383798924,Adult,Race,Valid,{50.79},0.7775636918501793,0.629841682713473,-0.09825523584016566,0.11814134972933193,-0.04198395259732132,-0.03615751070373274,3,20.5,46.5,8.0
rw1,-,cpp2,Random Forest,8.0,-0.09825523584016566,0.629841682713473,0.0,0.0,0.0,0.8467605218544999,0.8421728241347803,0.8467605218544999,Adult,Race,Valid,{8.28},0.7779517421352391,0.629841682713473,-0.09825523584016566,0.11814134972933193,-0.04198395259732132,-0.03615751070373274,3,20.5,46.5,8.0
di1,-,eop2,Random Forest,10.0,-0.09527979050450541,0.6633814568996895,0.031911086967625506,0.09433778278581956,0.10671256454388989,0.848603228421906,0.8437711542077968,0.848603228421906,Adult,Sex,Valid,{187.59},0.7785015293432453,0.3637327995448817,-0.20160953504822413,0.1173817129349877,-0.08103795096116673,-0.07698214667630787,2,12.25,55.5,10.0
