Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,AUC,Orig Disparate Impact,Orig Mean Difference,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
di1,mfc_fdr2,roc3,-,-0.10747045153345433,0.5899387783582407,0.0,0.0,0.0,0.8470809376382131,0.8401072263335116,0.8470809376382131,Adult,Race,Valid,{5232.54},0.7547206809500729,0.5899387783582407,-0.10747045153345433,0.13235324548201044,0.05349972896322445,0.08265442272976997,3,1.0,25.0
di1,mfc_sr2,roc3,-,-0.10747045153345433,0.5899387783582407,0.0,0.0,0.0,0.8470809376382131,0.8401072263335116,0.8470809376382131,Adult,Race,Valid,{6554.17},0.7547206809500729,0.5899387783582407,-0.10747045153345433,0.13235324548201044,0.05349972896322445,0.08265442272976997,3,1.0,25.0
rw1,-,roc2,Random Forest,-0.10747045153345433,0.5899387783582407,0.0,0.0,0.0,0.8398938522777533,0.8356999866833636,0.8398938522777533,Adult,Race,Valid,{255.26},0.7701417655530741,0.5899387783582407,-0.10747045153345433,0.12025902544364596,-0.05115567069839873,-0.06122753316066243,3,3.0,8.0
-,-,cpp1,Random Forest,-0.10747045153345433,0.5899387783582407,0.0,0.0,0.0,0.8392304290137107,0.834669333483055,0.8392304290137107,Adult,Race,Valid,{12.54},0.7677557536071409,0.5899387783582407,-0.10747045153345433,0.12025902544364596,-0.05115567069839873,-0.06122753316066243,3,4.0,1.0
rw1,-,cpp2,Random Forest,-0.10747045153345433,0.5899387783582407,0.0,0.0,0.0,0.8386775762936753,0.8342488767920768,0.8386775762936753,Adult,Race,Valid,{48.36},0.7676875040626682,0.5899387783582407,-0.10747045153345433,0.12025902544364596,-0.05115567069839873,-0.06122753316066243,3,5.0,2.0
di1,-,cpp2,Logistic Regression,-0.10747045153345433,0.5899387783582407,0.0,0.0,0.0,0.8394515701017249,0.8317939802353649,0.8394515701017249,Adult,Race,Valid,{59.87},0.7481532119298236,0.5899387783582407,-0.10747045153345433,0.13235324548201044,0.05349972896322445,0.08265442272976997,3,6.0,9.0
di1,-,roc2,Logistic Regression,-0.10747045153345433,0.5899387783582407,0.0,0.0,0.0,0.8394515701017249,0.8317939802353649,0.8394515701017249,Adult,Race,Valid,{445.42},0.7481532119298236,0.5899387783582407,-0.10747045153345433,0.13235324548201044,0.05349972896322445,0.08265442272976997,3,6.0,9.0
-,-,roc1,Random Forest,-0.10747045153345433,0.5899387783582407,0.0,0.0,0.0,0.8383458646616542,0.8342045961763075,0.8383458646616542,Adult,Race,Valid,{351.8},0.7685143369630546,0.5899387783582407,-0.10747045153345433,0.12025902544364596,-0.05115567069839873,-0.06122753316066243,3,8.0,3.0
-,-,cpp1,Logistic Regression,-0.10747045153345433,0.5899387783582407,0.0,0.0,0.0,0.8384564352056613,0.8310086274589064,0.8384564352056613,Adult,Race,Valid,{13.14},0.7500352398536934,0.5899387783582407,-0.10747045153345433,0.13235324548201044,0.05349972896322445,0.08265442272976997,3,9.0,6.0
-,-,roc1,Logistic Regression,-0.10747045153345433,0.5899387783582407,0.0,0.0,0.0,0.8384564352056613,0.8310086274589064,0.8384564352056613,Adult,Race,Valid,{391.37},0.7500352398536934,0.5899387783582407,-0.10747045153345433,0.13235324548201044,0.05349972896322445,0.08265442272976997,3,9.0,5.0
