Pre,In_p,Post,Classifier,Ovr_Rank,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,AUC,Orig Disparate Impact,Orig Mean Difference,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Perf_Rank,Fair_Rank,Rank
di1,mfc_fdr2,roc3,-,1.0,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8497088523623498,0.8430978545829286,0.8497088523623498,Adult,Race,Valid,{2690.02},0.7607815947962662,0.6333621660042759,-0.09576759945316368,0.13382205274527773,0.02627845635516482,0.05020938863533775,3,14.0,47.0,1.0
di1,mfc_sr2,roc3,-,1.0,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8497088523623498,0.8430978545829286,0.8497088523623498,Adult,Race,Valid,{3709.17},0.7607815947962662,0.6333621660042759,-0.09576759945316368,0.13382205274527773,0.02627845635516482,0.05020938863533775,3,14.0,47.0,1.0
di1,-,roc2,Random Forest,3.0,-0.19110178450400037,0.38401030294846744,0.0,0.0,0.0,0.8435910665585612,0.8402593192451114,0.8435910665585612,Adult,Sex,Valid,{684.57},0.7782556491391087,0.38401030294846744,-0.19110178450400037,0.11921102289066933,-0.08107620946964644,-0.06785569170890271,3,19.25,43.5,3.0
-,-,roc1,Random Forest,4.0,-0.19110178450400037,0.38401030294846744,0.0,0.0,0.0,0.8432962335077763,0.8388422137695395,0.8432962335077763,Adult,Sex,Valid,{368.37},0.7729736709181005,0.38401030294846744,-0.19110178450400037,0.11921102289066933,-0.08107620946964644,-0.06785569170890271,3,24.75,43.5,4.0
rw1,-,eop2,Random Forest,5.0,-0.09965356199328565,0.6693297171054615,0.015839662366539175,0.06116575511644318,0.028581510232886354,0.8432962335077763,0.8388422137695395,0.8432962335077763,Adult,Sex,Valid,{40.93},0.7729736709181005,0.38401030294846744,-0.19110178450400037,0.11921102289066933,-0.08107620946964644,-0.06785569170890271,4,24.75,44.5,5.0
di1,-,cpp2,Random Forest,6.0,-0.19110178450400037,0.38401030294846744,0.0,0.0,0.0,0.842927692194295,0.8391843700301795,0.842927692194295,Adult,Sex,Valid,{39.84},0.7757204552363637,0.38401030294846744,-0.19110178450400037,0.11921102289066933,-0.08107620946964644,-0.06785569170890271,3,26.0,43.5,6.0
di1,mfc_fdr2,eop3,-,7.0,-0.04621284082789043,0.8053924072101576,0.022040765822701768,0.06090680426310347,0.0908792650918635,0.8497088523623498,0.8430978545829286,0.8497088523623498,Adult,Race,Valid,{1840.92},0.7607815947962662,0.6333621660042759,-0.09576759945316368,0.13382205274527773,0.02627845635516482,0.05020938863533775,2,14.0,60.0,7.0
di1,mfc_sr2,eop3,-,7.0,-0.04621284082789043,0.8053924072101576,0.022040765822701768,0.06090680426310347,0.0908792650918635,0.8497088523623498,0.8430978545829286,0.8497088523623498,Adult,Race,Valid,{4013.22},0.7607815947962662,0.6333621660042759,-0.09576759945316368,0.13382205274527773,0.02627845635516482,0.05020938863533775,2,14.0,60.0,7.0
-,-,cpp1,Random Forest,9.0,-0.19110178450400037,0.38401030294846744,0.0,0.0,0.0,0.8427802756689025,0.8382737854608321,0.8427802756689025,Adult,Sex,Valid,{20.25},0.7721320747402811,0.38401030294846744,-0.19110178450400037,0.11921102289066933,-0.08107620946964644,-0.06785569170890271,3,30.75,43.5,9.0
-,-,roc1,Random Forest,10.0,-0.09576759945316368,0.6333621660042759,0.0,0.0,0.0,0.8428539839315987,0.8386646744729298,0.8428539839315987,Adult,Race,Valid,{417.3},0.7736769514658017,0.6333621660042759,-0.09576759945316368,0.12064243537700702,-0.0377773655593162,-0.02637001186953547,3,28.0,47.0,10.0
di1,-,cpp2,Logistic Regression,10.0,-0.19110178450400037,0.38401030294846744,0.0,0.0,0.0,0.8435910665585612,0.8367665550496534,0.8435910665585612,Adult,Sex,Valid,{183.62},0.7584102927464665,0.38401030294846744,-0.19110178450400037,0.13382205274527773,-0.07125947343041271,-0.06995947477598852,3,31.5,43.5,10.0
