,Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,AUC,Orig Disparate Impact,Orig Mean Difference,Score,Rank,Ovr_Rank,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Orig AUC
10,-,mfc_sr,roc,-,-0.07197474314287278,0.8789515683506229,0.0,0.0,0.0,0.5148568341437061,0.4277203180575632,0.5148568341437061,Compas,Sex,Fail,{562.14},0.4821102812910133,0.8789515683506229,-0.07197474314287278,3,1.0,2.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
11,-,mfc_sr,roc,-,-0.2488076311605723,0.5154798761609908,0.0,0.0,0.0,0.9154929577464788,0.9154929577464788,0.9154929577464788,Ricci,Race,Valid,{5.82},0.9115448504983388,0.5154798761609908,-0.2488076311605723,3,1.0,2.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
12,-,-,-,Logistic Regression,0.014953460627751663,1.1579107245635345,0.2352883843629847,0.0018859557740593333,0.012008497109013382,0.7724937137859391,0.7606347703266787,0.7724937137859391,Bank,Age,-,-,0.6077505714929653,1.2883461105882923,0.07607612836025164,2,1.0,2.0,0.2352883843629847,0.0018859557740593333,0.012008497109013382,0.6077505714929653
13,-,-,-,Logistic Regression,-0.17260940032414884,0.7612107623318377,0.1953092920035432,-0.14790179953227825,-0.08772246272246262,0.6634251755807682,0.663161062022416,0.6634251755807682,Compas,Race,-,-,0.6563042197173702,0.8148148148148141,-0.1134521880064832,0,1.0,2.0,0.1953092920035432,-0.14790179953227825,-0.08772246272246262,0.6563042197173702
14,-,-,-,Logistic Regression,-0.2488076311605727,0.51547987616099,0.0,0.0,0.0,1.0,1.0,1.0,Ricci,Race,-,-,1.0,0.51547987616099,-0.2488076311605727,0,1.0,2.0,0.0,0.0,0.0,1.0
15,-,mfc_fdr,roc,-,-0.07197474314287278,0.8789515683506229,0.0,0.0,0.0,0.5148568341437061,0.4277203180575632,0.5148568341437061,Compas,Sex,Fail,{421.39},0.4821102812910133,0.8789515683506229,-0.07197474314287278,3,1.0,3.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
16,-,mfc_fdr,roc,-,-0.2488076311605723,0.5154798761609908,0.0,0.0,0.0,0.9154929577464788,0.9154929577464788,0.9154929577464788,Ricci,Race,Valid,{7.67},0.9115448504983388,0.5154798761609908,-0.2488076311605723,3,1.0,3.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
17,-,-,roc,Random Forest,-0.2488076311605723,0.5154798761609908,0.0,0.0,0.0,1.0,1.0,1.0,Ricci,Race,Valid,{5.22},1.0,0.5154798761609908,-0.2488076311605723,0,1.0,4.0,0.0,0.0,0.0,1.0
18,-,mfc_fdr,-,-,0.004051863857374438,1.0043103448275863,0.097923846891389,0.0014580101156451142,-0.005892255892255839,0.5164775796866559,0.43224384335894905,0.5164775796866559,Compas,Race,Fail,{545.28},0.483619335616969,0.8148148148148148,-0.11345218800648305,5,1.0,5.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
19,-,mfc_sr,-,-,0.004051863857374438,1.0043103448275863,0.097923846891389,0.0014580101156451142,-0.005892255892255839,0.5164775796866559,0.43224384335894905,0.5164775796866559,Compas,Race,Fail,{541.67},0.483619335616969,0.8148148148148148,-0.11345218800648305,5,1.0,5.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
20,rw,mfc_fdr,-,-,0.004051863857374438,1.0043103448275863,0.097923846891389,0.0014580101156451142,-0.005892255892255839,0.5164775796866559,0.43224384335894905,0.5164775796866559,Compas,Race,Fail,{839.1},0.483619335616969,0.8148148148148148,-0.11345218800648305,5,1.0,5.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
21,rw,mfc_sr,-,-,0.004051863857374438,1.0043103448275863,0.097923846891389,0.0014580101156451142,-0.005892255892255839,0.5164775796866559,0.43224384335894905,0.5164775796866559,Compas,Race,Fail,{349.2},0.483619335616969,0.8148148148148148,-0.11345218800648305,5,1.0,5.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
22,rw,mfc_fdr,roc,-,-0.07197474314287278,0.8789515683506229,0.0,0.0,0.0,0.5148568341437061,0.4277203180575632,0.5148568341437061,Compas,Sex,Fail,{471.79},0.4821102812910133,0.8789515683506229,-0.07197474314287278,3,1.0,5.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
23,rw,mfc_fdr,roc,-,-0.2488076311605723,0.5154798761609908,0.0,0.0,0.0,0.9154929577464788,0.9154929577464788,0.9154929577464788,Ricci,Race,Valid,{5.6},0.9115448504983388,0.5154798761609908,-0.2488076311605723,3,1.0,5.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
24,di,-,cpp,Logistic Regression,-0.07197474314287278,0.8789515683506229,0.0,0.0,0.0,0.6812533765532145,0.6805813909767775,0.6812533765532145,Compas,Sex,Valid,{13.4},0.6779698024788169,0.8789515683506229,-0.07197474314287278,3,1.0,6.0,0.1953092920035432,-0.3205832942098192,-0.2127554615926711,0.6563042197173702
25,rw,-,roc,Logistic Regression,-0.079782506404559,0.6908427876823339,0.0,0.0,0.0,0.8470042007517135,0.8399899724006624,0.8470042007517135,Adult,Race,Valid,{32.5},0.755101410899997,0.6908427876823339,-0.079782506404559,3,1.0,6.0,0.1317133019031189,0.02768584838728159,0.07236326358318751,0.7521652371824058
26,rw,-,roc,Logistic Regression,0.07607612836025167,1.2883461105882894,0.0,0.0,0.0,0.7724937137859408,0.7606347703266794,0.7724937137859408,Bank,Age,Valid,{46.87},0.607750571492965,1.2883461105882894,0.07607612836025167,3,1.0,6.0,0.2352883843629847,0.0018859557740593333,0.012008497109013382,0.6077505714929653
27,rw,-,roc,Logistic Regression,-0.2488076311605723,0.5154798761609908,0.0,0.0,0.0,1.0,1.0,1.0,Ricci,Race,Valid,{5.74},1.0,0.5154798761609908,-0.2488076311605723,0,1.0,6.0,0.0,0.0,0.0,1.0
28,-,-,cpp,Logistic Regression,-0.2488076311605723,0.5154798761609908,0.0,0.0,0.0,1.0,1.0,1.0,Ricci,Race,Valid,{0.02},1.0,0.5154798761609908,-0.2488076311605723,0,1.0,7.0,0.0,0.0,0.0,1.0
29,di,-,roc,Logistic Regression,-0.07197474314287278,0.8789515683506229,0.0,0.0,0.0,0.6812533765532145,0.6805813909767775,0.6812533765532145,Compas,Sex,Valid,{42.1},0.6779698024788169,0.8789515683506229,-0.07197474314287278,3,1.0,9.0,0.1953092920035432,-0.3205832942098192,-0.2127554615926711,0.6563042197173702
