Pre,In_p,Post,Classifier,Ovr_Rank,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Orig Mean Difference,Orig Disparate Impact,Accuracy,Precision,Recall,AUC,Dataset,Sens_Attr,Valid,Time,Failed,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Perf_Rank,Fair_Rank,Rank
-,pr1,-,-,1.0,-0.08656968583612001,0.600809047495508,0.12328418613720026,-0.040957510084325396,-0.05326330505390964,-0.10009035170484668,0.6217088061290708,0.8490712074303406,0.7439353099730458,0.6079295154185022,0.9039738297116859,Adult,Race,Valid,{59.98},,0.14615780017132807,0.02076679299135583,0.05079284524197092,3,22.5,72.0,1.0
rw1,pr2,-,-,1.0,-0.08656968583612001,0.600809047495508,0.12328418613720026,-0.040957510084325396,-0.05326330505390964,-0.10009035170484668,0.6217088061290708,0.8490712074303406,0.7439353099730458,0.6079295154185022,0.9039738297116859,Adult,Race,Valid,{62.0},,0.14615780017132807,0.02076679299135583,0.05079284524197092,3,22.5,72.0,1.0
di1,gsr_eo2,-,-,3.0,-0.09062426026625411,0.6318507181699365,0.11257621468844481,-0.03282390480279408,-0.03171380967884019,-0.10009035170484668,0.6217088061290708,0.8477443609022557,0.7111111111111111,0.6625550660792952,0.9040104103666649,Adult,Race,Valid,{22.07},,0.14615780017132807,0.02076679299135583,0.05079284524197092,3,29.75,67.0,3.0
-,pr1,-,-,4.0,-0.18255661533781306,0.31664015138828416,0.12268018985704406,-0.08188390028264868,-0.07992556326535405,-0.19062301477233073,0.3900860279698258,0.848186643078284,0.7381837493361657,0.6123348017621145,0.9037232928702515,Adult,Sex,Valid,{72.27},,0.14615780017132807,-0.16893980947142015,-0.2148362744062085,5,26.25,72.0,4.0
rw1,pr2,-,-,4.0,-0.18255661533781306,0.31664015138828416,0.12268018985704406,-0.08188390028264868,-0.07992556326535405,-0.19062301477233073,0.3900860279698258,0.848186643078284,0.7381837493361657,0.6123348017621145,0.9037232928702515,Adult,Sex,Valid,{70.62},,0.14615780017132807,-0.16893980947142015,-0.2148362744062085,5,26.25,72.0,4.0
-,-,-,Random Forest,6.0,-0.08699685602739224,0.6288387408787677,0.1148109481933954,-0.043406274967967534,-0.06321217228105791,-0.10009035170484668,0.6217088061290708,0.8510614772224679,0.7292598112270243,0.6466960352422908,0.8936645557190034,Adult,Race,Valid,{2.78},,0.1148109481933954,-0.043406274967967534,-0.06321217228105791,1,32.5,68.5,6.0
di1,pr2,-,-,7.0,-0.21007354849100326,0.29118985622098953,0.11490166201903206,-0.11214352664066485,-0.11976213119180956,-0.19062301477233073,0.3900860279698258,0.8475232198142415,0.7155297532656023,0.6515418502202643,0.9052520065708611,Adult,Sex,Valid,{45.91},,0.14615780017132807,-0.16893980947142015,-0.2148362744062085,4,29.0,72.5,7.0
-,gsr_eo1,-,-,8.0,-0.16770599393359165,0.3528471916513452,0.12421229521398122,-0.05230936422630085,-0.028257194181254608,-0.19062301477233073,0.3900860279698258,0.8478549314462627,0.7411003236245954,0.6052863436123348,0.9036447338814252,Adult,Sex,Valid,{14.78},,0.14615780017132807,-0.16893980947142015,-0.2148362744062085,5,28.75,74.0,8.0
-,gsr_eo1,-,-,8.0,-0.0779612687913209,0.6383707555650064,0.12421229521398122,-0.034772921077413844,-0.050361951088725876,-0.10009035170484668,0.6217088061290708,0.8478549314462627,0.7411003236245954,0.6052863436123348,0.9036447338814252,Adult,Race,Valid,{14.17},,0.14615780017132807,0.02076679299135583,0.05079284524197092,3,28.75,74.0,8.0
rw1,gsr_eo2,-,-,8.0,-0.16770599393359165,0.3528471916513452,0.12421229521398122,-0.05230936422630085,-0.028257194181254608,-0.19062301477233073,0.3900860279698258,0.8478549314462627,0.7411003236245954,0.6052863436123348,0.9036447338814252,Adult,Sex,Valid,{14.91},,0.14615780017132807,-0.16893980947142015,-0.2148362744062085,5,28.75,74.0,8.0
rw1,gsr_eo2,-,-,8.0,-0.0779612687913209,0.6383707555650064,0.12421229521398122,-0.034772921077413844,-0.050361951088725876,-0.10009035170484668,0.6217088061290708,0.8478549314462627,0.7411003236245954,0.6052863436123348,0.9036447338814252,Adult,Race,Valid,{14.51},,0.14615780017132807,0.02076679299135583,0.05079284524197092,3,28.75,74.0,8.0
rw1,-,-,Random Forest,12.0,-0.0848564208055638,0.6371784545862764,0.11553156526313986,-0.03702428377280129,-0.049926269222666964,-0.10009035170484668,0.6217088061290708,0.8501769128704113,0.7274987568373943,0.6444933920704846,0.8940916226723323,Adult,Race,Valid,{2.88},,0.1148109481933954,-0.043406274967967534,-0.06321217228105791,3,34.0,70.5,12.0
-,-,-,Random Forest,13.0,-0.18216851730894837,0.3543981481481482,0.11552260123972254,-0.06227311398992996,-0.039155600953353686,-0.19062301477233073,0.3900860279698258,0.849624060150376,0.7252475247524752,0.6453744493392071,0.8931513860328881,Adult,Sex,Valid,{2.76},,0.11552260123972254,-0.06227311398992996,-0.039155600953353686,2,36.5,71.0,13.0
rw1,-,-,Random Forest,14.0,-0.1719059527750687,0.38255011449001725,0.11570194871400757,-0.04743970945082382,-0.018121940051424756,-0.19062301477233073,0.3900860279698258,0.849624060150376,0.7256944444444444,0.6444933920704846,0.8930981571153763,Adult,Sex,Valid,{2.81},,0.11552260123972254,-0.06227311398992996,-0.039155600953353686,4,36.75,71.5,14.0
di1,pr2,-,-,15.0,-0.125580117957318,0.5138513115629533,0.11008142267404393,-0.08937460578593606,-0.12229733611659044,-0.10009035170484668,0.6217088061290708,0.8469703670942061,0.7030247479376719,0.6757709251101321,0.9036332556847966,Adult,Race,Valid,{39.35},,0.14615780017132807,0.02076679299135583,0.05079284524197092,2,37.75,71.5,15.0
di1,gsr_eo2,eop3,-,16.0,-0.04006814718992863,0.8286801759100207,0.1208275709448968,0.02318222628354598,0.036788785261504864,-0.10009035170484668,0.6217088061290708,0.8392304290137107,0.6974830590513069,0.6348017621145374,0.9040104103666649,Adult,Race,Valid,{22.6},,0.14615780017132807,0.02076679299135583,0.05079284524197092,3,39.5,71.0,16.0
-,gsr_eo1,eop2,-,17.0,-0.04100333734526021,0.8043454916419085,0.12919668786258853,0.0015129789740704544,-0.012668288105406322,-0.10009035170484668,0.6217088061290708,0.8415524104378593,0.7268292682926829,0.5907488986784141,0.9036447338814252,Adult,Race,Valid,{14.95},,0.14615780017132807,0.02076679299135583,0.05079284524197092,4,38.75,73.5,17.0
rw1,gsr_eo2,eop3,-,18.0,-0.04100333734526021,0.8043454916419085,0.1295183712043033,0.0018225644122482412,-0.011701170117011772,-0.10009035170484668,0.6217088061290708,0.8411101282618311,0.7257452574525746,0.5898678414096916,0.9036447338814252,Adult,Race,Valid,{14.54},,0.14615780017132807,0.02076679299135583,0.05079284524197092,4,40.0,73.5,18.0
-,-,eop1,Random Forest,19.0,-0.0454192352444997,0.8068570496893309,0.11722880654831096,-0.011694554447040206,-0.045459333167359284,-0.10009035170484668,0.6217088061290708,0.8439849624060151,0.7073877353935297,0.6453744493392071,0.8930518541352072,Adult,Race,Valid,{3.03},,0.1148109481933954,-0.043406274967967534,-0.06321217228105791,3,45.25,69.0,19.0
rw1,-,eop2,Random Forest,20.0,-0.0405920037074205,0.8250043568796478,0.11678020293192534,-0.00823564068922314,-0.044492215178964734,-0.10009035170484668,0.6217088061290708,0.8460858027421495,0.71435546875,0.6444933920704846,0.8942462043912395,Adult,Race,Valid,{3.06},,0.1148109481933954,-0.043406274967967534,-0.06321217228105791,3,42.75,72.0,20.0
di1,-,-,Random Forest,21.0,-0.20694125068224722,0.32804442249306354,0.11252638785028314,-0.08800374942983913,-0.06684630105784695,-0.19062301477233073,0.3900860279698258,0.8435426802299867,0.6960110041265475,0.6687224669603524,0.8952771610550316,Adult,Sex,Valid,{6.46},,0.11552260123972254,-0.06227311398992996,-0.039155600953353686,2,44.5,71.0,21.0
rw1,-,-,Naive Bayes,22.0,-0.1252883919730345,0.6152243333354666,0.09457744825153304,-0.04700310995306563,-0.02121914319091478,-0.10009035170484668,0.6217088061290708,0.8278416629809818,0.6277319957004658,0.771806167400881,0.8966834840131157,Adult,Race,Valid,{0.26},,0.0922509019261325,-0.10743655767862095,-0.10770438746002264,3,55.5,64.0,22.0
-,-,cpp1,Random Forest,23.0,-0.062035947309286216,0.7072023163228375,0.1277318682377014,-0.00821428016257978,-0.005668651971580174,-0.10009035170484668,0.6217088061290708,0.843874391862008,0.7331521739130434,0.594273127753304,0.8794281777045947,Adult,Race,Valid,{3.2},,0.1148109481933954,-0.043406274967967534,-0.06321217228105791,3,50.25,70.5,23.0
-,pr1,eop2,-,23.0,-0.0348049936820487,0.8239250287256358,0.13742466087658223,0.017491311779581464,0.02263151847099598,-0.10009035170484668,0.6217088061290708,0.8364661654135338,0.7266475644699141,0.5585903083700441,0.9039738297116859,Adult,Race,Valid,{60.96},,0.14615780017132807,0.02076679299135583,0.05079284524197092,4,42.75,78.0,23.0
di1,gsr_eo2,cpp3,-,25.0,-0.07028137387935546,0.6887709811665483,0.12330950370057231,-0.0032041497521769005,0.017609207729283538,-0.10009035170484668,0.6217088061290708,0.8427686864219371,0.7167689161554193,0.6176211453744493,0.8917845701821814,Adult,Race,Valid,{22.53},,0.14615780017132807,0.02076679299135583,0.05079284524197092,4,51.0,71.0,25.0
di1,-,-,Random Forest,26.0,-0.10531516408336361,0.589863815408286,0.1152240870485479,-0.06375276992343837,-0.08557079112166543,-0.10009035170484668,0.6217088061290708,0.8388987173816895,0.6853625170998632,0.6621145374449339,0.8912851873384761,Adult,Race,Valid,{6.06},,0.1148109481933954,-0.043406274967967534,-0.06321217228105791,1,56.0,68.0,26.0
rw1,gsr_eo2,cpp3,-,27.0,-0.06286403235324514,0.6864420696407377,0.13497993313591078,-0.010112758396996158,-0.005390964628377626,-0.10009035170484668,0.6217088061290708,0.8403361344537815,0.7379032258064516,0.5643171806167401,0.8914675703551674,Adult,Race,Valid,{15.34},,0.14615780017132807,0.02076679299135583,0.05079284524197092,4,50.25,74.0,27.0
rw1,pr2,eop3,-,27.0,-0.0348049936820487,0.8239250287256358,0.13840103910955784,0.014134646475827857,0.014664764348775283,-0.10009035170484668,0.6217088061290708,0.8351393188854489,0.7232091690544412,0.5559471365638766,0.9039738297116859,Adult,Race,Valid,{61.07},,0.14615780017132807,0.02076679299135583,0.05079284524197092,4,46.25,78.0,27.0
