Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Orig Mean Difference,Orig Disparate Impact,Accuracy,Precision,Recall,AUC,Dataset,Sens_Attr,Valid,Time,Failed,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
rw1,-,eop2,Random Forest,-0.046363667264507635,0.793625788766365,0.11935312045713807,0.0031593243555927478,-0.00048139191032359196,-0.09500472874215457,0.6369311647773944,0.8456435205661211,0.7150101419878296,0.6283422459893048,0.8980540264234035,Adult,Race,Valid,{3.28},,0.11515489618063451,-0.03554453918736859,-0.02922048895664031,3,1.0,10.0
rw1,gsr_eo2,eop3,-,-0.056323417970819745,0.7420367495890512,0.11788383350929496,-0.01955009926893797,-0.04382041789402502,-0.09500472874215457,0.6369311647773944,0.8520566121185317,0.7381703470031545,0.6256684491978609,0.9098038560343923,Adult,Race,Valid,{16.58},,0.12838045820537616,0.034149751924003574,0.050775384826985515,4,2.0,9.0
-,gsr_eo1,roc2,-,-0.06266713054327544,0.8527065988988912,0.07486804834583771,0.005613022667212503,0.017591435808681166,-0.09500472874215457,0.6369311647773944,0.7798540468819106,0.533581099017786,0.8957219251336899,0.9098038560343923,Adult,Race,Valid,{37.77},,0.12838045820537616,0.034149751924003574,0.050775384826985515,4,3.0,1.0
rw1,gsr_eo2,roc3,-,-0.06266713054327544,0.8527065988988912,0.07486804834583771,0.005613022667212503,0.017591435808681166,-0.09500472874215457,0.6369311647773944,0.7798540468819106,0.533581099017786,0.8957219251336899,0.9098038560343923,Adult,Race,Valid,{37.16},,0.12838045820537616,0.034149751924003574,0.050775384826985515,4,3.0,1.0
di1,-,eop2,Naive Bayes,-0.04929808670893543,0.8729619925752459,0.09250762429189499,0.005195767294810194,0.003640239779018173,-0.09500472874215457,0.6369311647773944,0.7777532065457762,0.5339524085896692,0.8199643493761141,0.906069420415225,Adult,Race,Valid,{3.98},,0.0918482057259986,-0.12396218175542678,-0.1489541187662613,3,5.0,51.0
-,gsr_eo1,eop2,-,-0.056323417970819745,0.7420367495890512,0.11804314106630714,-0.021410564385217032,-0.04847158068472268,-0.09500472874215457,0.6369311647773944,0.8518354710305175,0.7376445846477392,0.625222816399287,0.9098038560343923,Adult,Race,Valid,{17.31},,0.12838045820537616,0.034149751924003574,0.050775384826985515,4,6.0,7.0
-,pr1,roc2,-,-0.06064846750764297,0.8478588751037647,0.07782772800630441,0.00893063677118465,0.022150904902174307,-0.09500472874215457,0.6369311647773944,0.7951127819548872,0.5554295435214063,0.8729946524064172,0.908864095103282,Adult,Race,Valid,{88.17},,0.12838045820537616,0.034149751924003574,0.050775384826985515,4,7.0,11.0
rw1,pr2,roc3,-,-0.06064846750764297,0.8478588751037647,0.07782772800630441,0.00893063677118465,0.022150904902174307,-0.09500472874215457,0.6369311647773944,0.7951127819548872,0.5554295435214063,0.8729946524064172,0.908864095103282,Adult,Race,Valid,{89.15},,0.12838045820537616,0.034149751924003574,0.050775384826985515,4,7.0,11.0
di1,gsr_eo2,roc3,-,-0.05393385359494374,0.8639989916178232,0.07792559384454578,0.019495562540582045,0.03856866138663784,-0.09500472874215457,0.6369311647773944,0.7957762052189297,0.556440147853284,0.8721033868092691,0.9089129181084198,Adult,Race,Valid,{43.11},,0.12838045820537616,0.034149751924003574,0.050775384826985515,4,9.0,6.0
di1,egr_fp2,roc3,-,-0.036106795592372426,0.8569381231357917,0.11011930564588528,-0.0028853724178051626,-0.03609063921968669,-0.09500472874215457,0.6369311647773944,0.8416629809818664,0.6815742397137746,0.679144385026738,0.802583031875852,Adult,Race,Valid,{93.53},,0.12838045820537616,0.034149751924003574,0.050775384826985515,4,10.0,22.0
-,-,roc1,Naive Bayes,-0.05360434124522878,0.8529200063639406,0.0838806634119037,0.019220591561487088,0.0383233807466159,-0.09500472874215457,0.6369311647773944,0.8094869526758072,0.5807251317012705,0.8351158645276292,0.9030017956380414,Adult,Race,Valid,{21.53},,0.0918482057259986,-0.12396218175542678,-0.1489541187662613,4,11.0,47.0
di1,gsr_eo2,eop3,-,-0.059492974868684934,0.7636739102808489,0.1071546943887938,-0.02281549401255676,-0.052292915515719796,-0.09500472874215457,0.6369311647773944,0.848297213622291,0.6981818181818182,0.6844919786096256,0.9089129181084198,Adult,Race,Valid,{22.39},,0.12838045820537616,0.034149751924003574,0.050775384826985515,3,12.0,15.0
di1,pr2,roc3,-,-0.06308901832112657,0.8447994136859088,0.07615569931148296,0.013615816321908544,0.03752106089607665,-0.09500472874215457,0.6369311647773944,0.7922379478107032,0.5507649513212796,0.8823529411764706,0.9083135419943379,Adult,Race,Valid,{70.65},,0.12838045820537616,0.034149751924003574,0.050775384826985515,4,13.0,27.0
rw1,-,roc2,Naive Bayes,-0.048595873497649655,0.8840577221228383,0.07810271715005404,0.023196399240563964,0.04217222368677431,-0.09500472874215457,0.6369311647773944,0.7777532065457762,0.5313841201716738,0.8827985739750446,0.9036845312991507,Adult,Race,Valid,{21.71},,0.0918482057259986,-0.12396218175542678,-0.1489541187662613,4,14.0,48.0
rw1,pr2,eop3,-,-0.05400483471396608,0.7481939336307318,0.12042168433695542,-0.026318495554682554,-0.06334888305615094,-0.09500472874215457,0.6369311647773944,0.8505086245024326,0.7385026737967915,0.6154188948306596,0.908864095103282,Adult,Race,Valid,{68.2},,0.12838045820537616,0.034149751924003574,0.050775384826985515,3,15.0,26.0
-,-,eop1,Random Forest,-0.039661650001099724,0.8160667260116464,0.12447113876184296,0.021572526886599074,0.038607631207949855,-0.09500472874215457,0.6369311647773944,0.8431003980539584,0.717219589257504,0.606951871657754,0.8989571537171018,Adult,Race,Valid,{3.14},,0.11515489618063451,-0.03554453918736859,-0.02922048895664031,2,16.0,5.0
