Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Orig Mean Difference,Orig Disparate Impact,Accuracy,Precision,Recall,AUC,Dataset,Sens_Attr,Valid,Time,Failed,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
-,pr1,eop2,-,-0.06196964598293761,0.7023168882813471,0.1268090376680405,-0.004717221262376781,0.0035639373647978756,-0.09865510851393464,0.627790344582033,0.8475232198142415,0.748062015503876,0.5938461538461538,0.9026250570230478,Adult,Race,Valid,{67.06},,0.13343960450080292,0.02752368411291504,0.05973525036718641,4,1.0,17.0
-,pr1,roc2,-,-0.0546317670389001,0.8615853380377624,0.0810385019019997,0.01655658623711362,0.02996382099133299,-0.09865510851393464,0.627790344582033,0.7944493586908448,0.5593946316390634,0.8610989010989011,0.9026250570230478,Adult,Race,Valid,{86.9},,0.13343960450080292,0.02752368411291504,0.05973525036718641,4,2.0,28.0
rw1,pr2,roc3,-,-0.0546317670389001,0.8615853380377624,0.0810385019019997,0.01655658623711362,0.02996382099133299,-0.09865510851393464,0.627790344582033,0.7944493586908448,0.5593946316390634,0.8610989010989011,0.9026250570230478,Adult,Race,Valid,{85.33},,0.13343960450080292,0.02752368411291504,0.05973525036718641,4,2.0,28.0
-,gsr_eo1,roc2,-,-0.05903623284685949,0.8411455244389572,0.08364345685176824,0.018993400381885434,0.04248804591120903,-0.09865510851393464,0.627790344582033,0.8074966828836798,0.5812043795620438,0.84,0.9052432306945529,Adult,Race,Valid,{35.24},,0.13343960450080292,0.02752368411291504,0.05973525036718641,4,4.0,11.0
rw1,gsr_eo2,roc3,-,-0.05903623284685949,0.8411455244389572,0.08364345685176824,0.018993400381885434,0.04248804591120903,-0.09865510851393464,0.627790344582033,0.8074966828836798,0.5812043795620438,0.84,0.9052432306945529,Adult,Race,Valid,{33.76},,0.13343960450080292,0.02752368411291504,0.05973525036718641,4,4.0,11.0
di1,gsr_eo2,roc3,-,-0.047714011466263695,0.8769555422842239,0.0815761599429579,0.02505967595896752,0.040618093258316335,-0.09865510851393464,0.627790344582033,0.7979876160990712,0.5649651972157773,0.8562637362637363,0.9050269895564621,Adult,Race,Valid,{42.5},,0.13343960450080292,0.02752368411291504,0.05973525036718641,4,6.0,6.0
di1,pr2,roc3,-,-0.048786878243279985,0.888646090185075,0.07659842396359866,0.018885447374644232,0.028661658228026354,-0.09865510851393464,0.627790344582033,0.7679124281291464,0.5225525371604306,0.8962637362637362,0.9041748501166436,Adult,Race,Valid,{62.67},,0.13343960450080292,0.02752368411291504,0.05973525036718641,4,7.0,9.0
rw1,gsr_eo2,eop3,-,-0.05675245875650933,0.7038705260338824,0.13911922671424481,-0.00034795646627342955,0.013061513699690774,-0.09865510851393464,0.627790344582033,0.8394515701017249,0.7474443776307877,0.5463736263736264,0.9052432306945529,Adult,Race,Valid,{14.89},,0.13343960450080292,0.02752368411291504,0.05973525036718641,3,8.0,3.0
di1,egr_fp2,roc3,-,-0.02132674546773805,0.9100126620966685,0.11949830837728116,0.025046736965574967,0.013000511480148469,-0.09865510851393464,0.627790344582033,0.83812472357364,0.6915446386395843,0.6435164835164835,0.7945861790742865,Adult,Race,Valid,{106.69},,0.13343960450080292,0.02752368411291504,0.05973525036718641,4,9.0,18.0
-,gsr_eo1,eop2,-,-0.05675245875650933,0.7038705260338824,0.13829718309403613,0.005171090410941319,0.02665796993998315,-0.09865510851393464,0.627790344582033,0.8405572755417957,0.7504509921828022,0.5485714285714286,0.9052432306945529,Adult,Race,Valid,{15.34},,0.13343960450080292,0.02752368411291504,0.05973525036718641,3,10.0,1.0
