Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Orig Mean Difference,Orig Disparate Impact,Accuracy,Precision,Recall,AUC,Dataset,Sens_Attr,Valid,Time,Failed,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
rw1,-,eop2,Random Forest,-0.05457587849144033,0.7637883008356546,0.1263980502021152,-0.020629597318489887,-0.04056392415438703,-0.0903265113485219,0.6532872200263504,0.8324856258292791,0.6797029702970298,0.6126729138777331,0.8846936900754405,Adult,Race,Valid,{3.08},,0.12642391903947714,-0.05567074836571344,-0.0703516329392907,4,14.0,2.0
di1,egr_fp2,roc3,-,-0.005373492942034569,0.9770748672890354,0.12402576506422335,-0.010609960433381138,-0.09307890566656352,-0.0903265113485219,0.6532872200263504,0.8297213622291022,0.6658778987221959,0.6278447121820616,0.7862452472112632,Adult,Race,Valid,{108.78},,0.1610712746768744,0.036234480157762726,0.07277645215934131,3,15.0,18.0
di1,gsr_eo2,eop3,-,-0.06797099583816019,0.7305782312925171,0.11387048638290019,-0.04683284272933399,-0.09277381104169324,-0.0903265113485219,0.6532872200263504,0.8387881468376824,0.6783599088838269,0.6644355198572066,0.9009195355252818,Adult,Race,Valid,{26.34},,0.1610712746768744,0.036234480157762726,0.07277645215934131,2,16.0,29.0
-,-,roc1,Random Forest,-0.04687862015703437,0.8713983050847458,0.09200819272919253,0.025107908883888946,0.052795031055900554,-0.0903265113485219,0.6532872200263504,0.7954444935869085,0.5603954278653074,0.8094600624721107,0.8839116572124157,Adult,Race,Valid,{20.98},,0.12642391903947714,-0.05567074836571344,-0.0703516329392907,4,17.0,22.0
di1,-,eop2,Logistic Regression,-0.04707255331016433,0.7655726495726496,0.1367506690396091,-0.016428897412577574,-0.03690734230706183,-0.0903265113485219,0.6532872200263504,0.8349181777974347,0.7129840546697038,0.5586791610887997,0.8780606280283072,Adult,Race,Valid,{3.6},,0.1610712746768744,0.036234480157762726,0.07277645215934131,4,18.0,35.0
rw1,-,eop2,Naive Bayes,-0.05851117689964391,0.8137757749556191,0.10107422825059321,-0.028292836232247223,-0.06419054297735927,-0.0903265113485219,0.6532872200263504,0.8175586023883238,0.6067943621250452,0.749219098616689,0.8962453108364994,Adult,Race,Valid,{0.49},,0.09589955493126144,-0.1301747889714491,-0.159339083076811,3,19.0,26.0
-,gsr_eo1,eop2,-,-0.06100999699661047,0.7127353535353534,0.12757955373317317,-0.04580606535121765,-0.09486621373016879,-0.0903265113485219,0.6532872200263504,0.8421052631578947,0.7205642973412913,0.5925925925925926,0.899614103104236,Adult,Race,Valid,{18.46},,0.1610712746768744,0.036234480157762726,0.07277645215934131,2,20.0,8.0
-,pr1,eop2,-,-0.06212382546016218,0.7013366336633663,0.12918207827134973,-0.037140351843837106,-0.07017176372015088,-0.0903265113485219,0.6532872200263504,0.842436974789916,0.7264150943396226,0.5841142347166444,0.8986012155830929,Adult,Race,Valid,{62.3},,0.1610712746768744,0.036234480157762726,0.07277645215934131,3,20.0,10.0
rw1,gsr_eo2,eop3,-,-0.06100999699661047,0.7127353535353534,0.12757955373317317,-0.04779762639580278,-0.09996857980728946,-0.0903265113485219,0.6532872200263504,0.8421052631578947,0.7205642973412913,0.5925925925925926,0.899614103104236,Adult,Race,Valid,{19.07},,0.1610712746768744,0.036234480157762726,0.07277645215934131,2,22.0,7.0
-,-,roc1,Logistic Regression,-0.03351267859441365,0.9295753313497431,0.08445973467697478,0.028599693955978417,0.04830285422852043,-0.0903265113485219,0.6532872200263504,0.7184873949579832,0.46421027927716496,0.8826416778224007,0.8653144598581498,Adult,Race,Fail,{17.99},,0.1610712746768744,0.036234480157762726,0.07277645215934131,4,23.0,20.0
di1,pr2,eop3,-,-0.057644484489638326,0.7461224489795918,0.13361467884545308,-0.025494091409966717,-0.04449827871987766,-0.0903265113485219,0.6532872200263504,0.8249668288367978,0.6661616161616162,0.5885765283355645,0.898832431002859,Adult,Race,Valid,{48.29},,0.1610712746768744,0.036234480157762726,0.07277645215934131,4,24.0,38.0
di1,-,roc2,Random Forest,-0.029671772428884025,0.9179059829059829,0.09369058956568553,0.04774114703555811,0.08472978634268957,-0.0903265113485219,0.6532872200263504,0.793233082706767,0.5574125657691117,0.8036590807675145,0.8864502385388813,Adult,Race,Valid,{22.84},,0.12642391903947714,-0.05567074836571344,-0.0703516329392907,3,25.0,31.0
-,egr_fp1,roc2,-,-0.05645170978675934,0.7097463048753585,0.13260891492591295,-0.029190832205800234,-0.05715515200087429,-0.0903265113485219,0.6532872200263504,0.8447589562140646,0.7480735032602253,0.5631414547077198,0.7736920537261989,Adult,Race,Valid,{80.53},,0.1610712746768744,0.036234480157762726,0.07277645215934131,4,26.0,36.0
rw1,egr_fp2,roc3,-,-0.05645170978675934,0.7097463048753585,0.13260891492591295,-0.029190832205800234,-0.05715515200087429,-0.0903265113485219,0.6532872200263504,0.8447589562140646,0.7480735032602253,0.5631414547077198,0.7736920537261989,Adult,Race,Valid,{82.99},,0.1610712746768744,0.036234480157762726,0.07277645215934131,4,26.0,36.0
-,pr1,eop2,-,-0.09158905953619287,0.6269092721834496,0.13644352322323444,-0.0015208710132036674,-0.015861547043146684,-0.20725659581805944,0.34286072064763046,0.8229765590446705,0.6641025641025641,0.5778670236501562,0.9019889642355989,Adult,Sex,Valid,{46.16},,0.1610712746768744,-0.10397704879817171,-0.12653029270058946,4,28.0,10.0
rw1,pr2,eop3,-,-0.06212382546016218,0.7013366336633663,0.12966538833333224,-0.04661814695313921,-0.09420138066701883,-0.0903265113485219,0.6532872200263504,0.8417735515258735,0.7247502774694784,0.5827755466309683,0.8986012155830929,Adult,Race,Valid,{67.18},,0.1610712746768744,0.036234480157762726,0.07277645215934131,2,29.0,17.0
rw1,-,roc2,Random Forest,-0.04645986184408113,0.8701630695443646,0.09279374818674843,0.03605915642221988,0.08012149141181402,-0.0903265113485219,0.6532872200263504,0.7989827509951349,0.56657223796034,0.8032128514056225,0.8844451908930903,Adult,Race,Valid,{21.0},,0.12642391903947714,-0.05567074836571344,-0.0703516329392907,3,30.0,16.0
di1,-,roc2,Logistic Regression,-0.009804779679924491,0.9708259925954296,0.10098476979720745,0.05661458593489967,0.07882825449445363,-0.0903265113485219,0.6532872200263504,0.7978770455550641,0.5682193591014205,0.7675145024542614,0.8780606280283072,Adult,Race,Valid,{20.78},,0.1610712746768744,0.036234480157762726,0.07277645215934131,2,31.0,19.0
-,-,eop1,Logistic Regression,-0.03213970051915732,0.8000854016546571,0.16334177337744543,0.0017310696710605943,-0.0009562667346678655,-0.0903265113485219,0.6532872200263504,0.8202122954444936,0.7176220806794055,0.4524765729585007,0.8653144598581498,Adult,Race,Valid,{0.58},,0.1610712746768744,0.036234480157762726,0.07277645215934131,3,32.0,32.0
-,gsr_eo1,-,-,-0.16635545938489094,0.3480577688157393,0.12681974548823616,-0.04956941829146808,-0.032510870664374636,-0.20725659581805944,0.34286072064763046,0.8447589562140646,0.7303247110621904,0.5921463632307006,0.899614103104236,Adult,Sex,Valid,{18.5},,0.1610712746768744,-0.10397704879817171,-0.12653029270058946,4,33.0,3.0
rw1,gsr_eo2,-,-,-0.16635545938489094,0.3480577688157393,0.12681974548823616,-0.04956941829146808,-0.032510870664374636,-0.20725659581805944,0.34286072064763046,0.8447589562140646,0.7303247110621904,0.5921463632307006,0.899614103104236,Adult,Sex,Valid,{19.06},,0.1610712746768744,-0.10397704879817171,-0.12653029270058946,4,33.0,3.0
rw1,pr2,eop3,-,-0.09158905953619287,0.6269092721834496,0.13771055794149778,0.0011191770637457438,-0.008044128536431883,-0.20725659581805944,0.34286072064763046,0.8212074303405573,0.66,0.5742971887550201,0.9019889642355989,Adult,Sex,Valid,{47.05},,0.1610712746768744,-0.10397704879817171,-0.12653029270058946,4,35.0,17.0
rw1,-,eop2,Logistic Regression,-0.043842622388123725,0.7789660393683756,0.14568270423901442,-0.012828741061216599,-0.028166608987085784,-0.0903265113485219,0.6532872200263504,0.8238611233967271,0.6864211737629459,0.5323516287371709,0.8774728489143993,Adult,Race,Valid,{0.63},,0.1610712746768744,0.036234480157762726,0.07277645215934131,4,36.0,21.0
di1,gsr_eo2,cpp3,-,-0.08907023640966233,0.6295574589578872,0.12019688008732186,-0.051777544266759866,-0.06938170525127052,-0.0903265113485219,0.6532872200263504,0.8385670057496682,0.6894711305191654,0.6340919232485498,0.893364760264374,Adult,Race,Valid,{26.17},,0.1610712746768744,0.036234480157762726,0.07277645215934131,4,37.0,62.0
-,pr1,-,-,-0.17720514204023965,0.319112146536431,0.12378465589950834,-0.06870788578073705,-0.06588780626241608,-0.20725659581805944,0.34286072064763046,0.8480760725342769,0.7367558711086838,0.6019634091923248,0.9019889642355989,Adult,Sex,Valid,{46.29},,0.1610712746768744,-0.10397704879817171,-0.12653029270058946,5,38.0,45.0
rw1,pr2,-,-,-0.17720514204023965,0.319112146536431,0.12378465589950834,-0.06870788578073705,-0.06588780626241608,-0.20725659581805944,0.34286072064763046,0.8480760725342769,0.7367558711086838,0.6019634091923248,0.9019889642355989,Adult,Sex,Valid,{46.26},,0.1610712746768744,-0.10397704879817171,-0.12653029270058946,5,38.0,45.0
-,-,cpp1,Logistic Regression,-0.036845582872098506,0.7708139845209501,0.16192641699185892,0.011716434632338735,0.031301797781461194,-0.0903265113485219,0.6532872200263504,0.8224237063246351,0.7256574271499645,0.4556001784917448,0.8637521651438262,Adult,Race,Valid,{0.79},,0.1610712746768744,0.036234480157762726,0.07277645215934131,3,40.0,63.0
-,gsr_eo1,-,-,-0.084141245119492,0.6045412381528534,0.12681974548823616,-0.06757850673384871,-0.11478160689240635,-0.0903265113485219,0.6532872200263504,0.8447589562140646,0.7303247110621904,0.5921463632307006,0.899614103104236,Adult,Race,Valid,{18.06},,0.1610712746768744,0.036234480157762726,0.07277645215934131,3,41.0,3.0
rw1,gsr_eo2,-,-,-0.084141245119492,0.6045412381528534,0.12681974548823616,-0.06757850673384871,-0.11478160689240635,-0.0903265113485219,0.6532872200263504,0.8447589562140646,0.7303247110621904,0.5921463632307006,0.899614103104236,Adult,Race,Valid,{19.11},,0.1610712746768744,0.036234480157762726,0.07277645215934131,3,41.0,3.0
di1,-,eop2,Random Forest,-0.054114214613635414,0.778145998240985,0.12740062829031845,-0.03397665357839089,-0.07447496402615617,-0.0903265113485219,0.6532872200263504,0.8233082706766918,0.6504445484323819,0.6202588130298974,0.8847680397714135,Adult,Race,Valid,{5.95},,0.12642391903947714,-0.05567074836571344,-0.0703516329392907,2,43.0,27.0
rw1,-,cpp2,Naive Bayes,-0.16700839391899783,0.4828510403748106,0.10883754335681807,-0.010120862691208432,0.04730410785525785,-0.20725659581805944,0.34286072064763046,0.8302742149491376,0.6453871499176277,0.6992414100847836,0.8917619618559494,Adult,Sex,Valid,{0.83},,0.09589955493126144,-0.17918745304150352,-0.16387057630015756,3,43.0,43.0
rw1,-,-,Naive Bayes,-0.16914163973455412,0.4796824065914322,0.10844812983279552,-0.012380363869970143,0.044702651039441044,-0.20725659581805944,0.34286072064763046,0.8299425033171163,0.6439983613273249,0.7014725568942436,0.8923807008785466,Adult,Sex,Valid,{0.29},,0.09589955493126144,-0.17918745304150352,-0.16387057630015756,3,45.0,28.0
rw1,-,eop2,Naive Bayes,-0.094226385497266,0.7101385193234028,0.11444091157619327,0.02686416334294464,0.038433058562952094,-0.20725659581805944,0.34286072064763046,0.8050641309155241,0.5897821187077386,0.7005800981704596,0.8923807008785466,Adult,Sex,Valid,{0.55},,0.09589955493126144,-0.17918745304150352,-0.16387057630015756,3,45.0,26.0
rw1,-,cpp2,Random Forest,-0.06890118848414639,0.6707913079130792,0.1384686566769755,-0.01825768293646594,-0.006293145844337933,-0.0903265113485219,0.6532872200263504,0.829500221141088,0.6936288088642659,0.5586791610887997,0.8697370368992916,Adult,Race,Valid,{3.22},,0.12642391903947714,-0.05567074836571344,-0.0703516329392907,3,47.0,53.0
-,egr_fp1,-,-,-0.05578066675247781,0.7265867507886434,0.1365796917684025,-0.024704408905492928,-0.044480064115407725,-0.0903265113485219,0.6532872200263504,0.8340336134453782,0.7085682074408117,0.5609103078982597,0.7736920537261989,Adult,Race,Valid,{64.7},,0.1610712746768744,0.036234480157762726,0.07277645215934131,4,48.0,47.0
di1,gsr_eo2,-,-,-0.10091217230874844,0.6000068027210884,0.11286763286834475,-0.07034472934262925,-0.10199040090344447,-0.0903265113485219,0.6532872200263504,0.8429898275099513,0.690664189503019,0.6635430611334225,0.9009195355252818,Adult,Race,Valid,{25.79},,0.1610712746768744,0.036234480157762726,0.07277645215934131,2,49.0,48.0
