Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Orig Mean Difference,Orig Disparate Impact,Accuracy,Precision,Recall,AUC,Dataset,Sens_Attr,Valid,Time,Failed,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
-,gsr_eo1,-,-,-0.07131259988402847,0.6658028340778642,0.12312351114223186,-0.011904239307549351,0.004243441792588509,-0.09268106410963553,0.6411899012795874,0.8470809376382131,0.7270255573681349,0.6027953110910731,0.901543209713457,Adult,Race,Valid,{17.38},,0.1350784849857809,0.045024147705999495,0.09123045643565053,4,1.0,6.0
rw1,gsr_eo2,-,-,-0.07131259988402847,0.6658028340778642,0.12312351114223186,-0.011904239307549351,0.004243441792588509,-0.09268106410963553,0.6411899012795874,0.8470809376382131,0.7270255573681349,0.6027953110910731,0.901543209713457,Adult,Race,Valid,{16.31},,0.1350784849857809,0.045024147705999495,0.09123045643565053,4,1.0,6.0
-,gsr_eo1,eop2,-,-0.025140367997510876,0.8724097587585503,0.13347307059527458,0.03475049262633028,0.056572139691175694,-0.09268106410963553,0.6411899012795874,0.8383458646616542,0.716,0.5649233543733093,0.901543209713457,Adult,Race,Valid,{16.92},,0.1350784849857809,0.045024147705999495,0.09123045643565053,4,3.0,3.0
di1,egr_fp2,roc3,-,-0.002411359554216702,0.9900603375404436,0.11599046382310853,0.03055362305464572,0.002564484021564395,-0.09268106410963553,0.6411899012795874,0.8344758956214064,0.6645367412140575,0.6564472497745717,0.792051726584055,Adult,Race,Valid,{106.94},,0.1350784849857809,0.045024147705999495,0.09123045643565053,4,4.0,42.0
-,-,eop1,Random Forest,-0.05373725373725374,0.7601731984270755,0.12401972782626426,0.0028271805597280125,0.015228690105956177,-0.09268106410963553,0.6411899012795874,0.8383458646616542,0.6930541368743616,0.6118124436429215,0.8875894744990578,Adult,Race,Valid,{3.26},,0.12010783577793518,-0.025275243830515267,0.002772287515024452,2,5.0,9.0
di1,gsr_eo2,-,-,-0.08471155614012757,0.6377497021415569,0.11730295596876752,-0.02507200057415344,-0.01117888338681905,-0.09268106410963553,0.6411899012795874,0.8446483856700575,0.70254110612855,0.6357078449053201,0.8994841040344073,Adult,Race,Valid,{22.42},,0.1350784849857809,0.045024147705999495,0.09123045643565053,5,6.0,16.0
di1,-,eop2,Naive Bayes,-0.04113171256028403,0.8954894026836472,0.09349241797055827,0.013713197001538238,0.016484956680055785,-0.09268106410963553,0.6411899012795874,0.768796992481203,0.5181066438551468,0.8192064923354373,0.8929637898588038,Adult,Race,Valid,{3.92},,0.09918744543767972,-0.09370316135661391,-0.08809451280707103,4,7.0,58.0
rw1,gsr_eo2,eop3,-,-0.025140367997510876,0.8724097587585503,0.13492790376342745,0.040335139870380295,0.0715316298169677,-0.09268106410963553,0.6411899012795874,0.8363555948695267,0.7108571428571429,0.5608656447249775,0.901543209713457,Adult,Race,Valid,{16.88},,0.1350784849857809,0.045024147705999495,0.09123045643565053,4,8.0,19.0
-,-,eop1,Logistic Regression,-0.04821163392591962,0.7517532169619645,0.13733439159728472,-0.0018810165211497823,0.0011830630707216905,-0.09268106410963553,0.6411899012795874,0.8364661654135338,0.7179941002949852,0.548692515779982,0.8812492453798755,Adult,Race,Valid,{0.7},,0.1350784849857809,0.045024147705999495,0.09123045643565053,3,9.0,17.0
rw1,pr2,eop3,-,-0.032279689422546554,0.8250954066853649,0.14322101891855707,0.018731367083934275,0.031831716952750666,-0.09268106410963553,0.6411899012795874,0.8325961963732862,0.7162162162162162,0.5256988277727682,0.900720227940852,Adult,Race,Valid,{58.68},,0.1350784849857809,0.045024147705999495,0.09123045643565053,3,10.0,56.0
