Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Orig Mean Difference,Orig Disparate Impact,Accuracy,Precision,Recall,AUC,Dataset,Sens_Attr,Valid,Time,Failed,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
-,gsr_eo1,eop2,-,-0.04892141310858436,0.75114728913799,0.13253806609716776,-0.0005604023179378338,0.009432603686635899,-0.0850452900781121,0.6683490880371203,0.8412206988058382,0.7252042007001167,0.5629528985507246,0.9045520941986583,Adult,Race,Valid,{16.13},,0.13383415871566637,0.027507140238594692,0.06610023041474655,4,1.0,11.0
di1,gsr_eo2,eop3,-,-0.05293495746103813,0.7695229229735217,0.12048760463412038,-0.0030530174871440732,0.003960253456221197,-0.0850452900781121,0.6683490880371203,0.8394515701017249,0.6882470119521913,0.6259057971014492,0.9035962768506034,Adult,Race,Valid,{20.17},,0.13383415871566637,0.027507140238594692,0.06610023041474655,4,2.0,6.0
rw1,gsr_eo2,eop3,-,-0.04892141310858436,0.75114728913799,0.1343216027021173,0.0012557521568663695,0.01497695852534564,-0.0850452900781121,0.6683490880371203,0.8387881468376824,0.7187864644107351,0.5579710144927537,0.9045520941986583,Adult,Race,Valid,{16.04},,0.13383415871566637,0.027507140238594692,0.06610023041474655,3,3.0,3.0
-,gsr_eo1,roc2,-,-0.06655634512525838,0.8333506659436491,0.08000483834362854,0.009680085269693828,0.045362903225806495,-0.0850452900781121,0.6683490880371203,0.7886996904024768,0.5421276595744681,0.8654891304347826,0.9045520941986583,Adult,Race,Valid,{37.3},,0.13383415871566637,0.027507140238594692,0.06610023041474655,4,4.0,15.0
rw1,gsr_eo2,roc3,-,-0.06655634512525838,0.8333506659436491,0.08000483834362854,0.009680085269693828,0.045362903225806495,-0.0850452900781121,0.6683490880371203,0.7886996904024768,0.5421276595744681,0.8654891304347826,0.9045520941986583,Adult,Race,Valid,{35.81},,0.13383415871566637,0.027507140238594692,0.06610023041474655,4,4.0,15.0
di1,egr_fp2,roc3,-,-0.0009951287837861034,0.9956104267958078,0.11977834347567128,0.005055888077208449,-0.05724366359446997,-0.0850452900781121,0.6683490880371203,0.8377930119416187,0.6808199121522694,0.6317934782608695,0.785863489910618,Adult,Race,Valid,{100.21},,0.13383415871566637,0.027507140238594692,0.06610023041474655,4,6.0,38.0
rw1,-,eop2,Random Forest,-0.04846780526487701,0.7795441450121379,0.1272070354598716,0.00635563087902228,0.02426555299539168,-0.0850452900781121,0.6683490880371203,0.8353604599734631,0.6867532467532468,0.5987318840579711,0.8905205537499681,Adult,Race,Valid,{3.16},,0.11717318944680218,-0.05450426226087138,-0.04939516129032262,3,6.0,2.0
-,-,eop1,Random Forest,-0.044321451814080315,0.7937973104717141,0.1285984360167787,0.010067791975496898,0.027865783410138234,-0.0850452900781121,0.6683490880371203,0.8359133126934984,0.6919406150583245,0.5910326086956522,0.8899336936911153,Adult,Race,Valid,{3.05},,0.11717318944680218,-0.05450426226087138,-0.04939516129032262,3,8.0,5.0
rw1,gsr_eo2,cpp3,-,-0.06119898629969822,0.6774546614436204,0.13618780947413844,-0.004763059370227838,0.019657258064516125,-0.0850452900781121,0.6683490880371203,0.840999557717824,0.7353300733496333,0.5448369565217391,0.8827879867665641,Adult,Race,Valid,{16.35},,0.13383415871566637,0.027507140238594692,0.06610023041474655,3,9.0,50.0
-,egr_fp1,roc2,-,0.010384524367898412,1.0505632882532598,0.128568200989047,0.024878011498476918,-0.020305299539170485,-0.0850452900781121,0.6683490880371203,0.8369084475895622,0.6958845537145911,0.5896739130434783,0.7689138146513343,Adult,Race,Valid,{110.05},,0.13383415871566637,0.027507140238594692,0.06610023041474655,4,10.0,24.0
rw1,egr_fp2,roc3,-,0.010384524367898412,1.0505632882532598,0.128568200989047,0.024878011498476918,-0.020305299539170485,-0.0850452900781121,0.6683490880371203,0.8369084475895622,0.6958845537145911,0.5896739130434783,0.7689138146513343,Adult,Race,Valid,{106.32},,0.13383415871566637,0.027507140238594692,0.06610023041474655,4,10.0,24.0
di1,gsr_eo2,roc3,-,-0.06157793228990677,0.8456661930265602,0.08125794929796541,0.014196846472813218,0.04989919354838712,-0.0850452900781121,0.6683490880371203,0.7863777089783281,0.5391156462585034,0.8614130434782609,0.9035962768506034,Adult,Race,Valid,{40.92},,0.13383415871566637,0.027507140238594692,0.06610023041474655,4,12.0,23.0
-,gsr_eo1,cpp2,-,-0.06145748442558682,0.6765329544212482,0.13642582473298348,-0.004771776771527587,0.020161290322580627,-0.0850452900781121,0.6683490880371203,0.8405572755417957,0.7338217338217338,0.5443840579710145,0.8810997537546323,Adult,Race,Valid,{16.8},,0.13383415871566637,0.027507140238594692,0.06610023041474655,3,13.0,61.0
di1,pr2,roc3,-,-0.06886562142049563,0.8148024633540581,0.08464087914204449,0.011570821096562794,0.05429147465437789,-0.0850452900781121,0.6683490880371203,0.8017470145953118,0.5633974946532233,0.8351449275362319,0.9023760809673426,Adult,Race,Valid,{76.49},,0.13383415871566637,0.027507140238594692,0.06610023041474655,4,14.0,10.0
-,pr1,roc2,-,-0.06830817921099525,0.8236568626775208,0.0821593859627006,0.012470156677838712,0.05551555299539168,-0.0850452900781121,0.6683490880371203,0.7943387881468377,0.5509666080843585,0.8519021739130435,0.9031856801905512,Adult,Race,Valid,{82.48},,0.13383415871566637,0.027507140238594692,0.06610023041474655,4,15.0,18.0
