Pre,In_p,Post,Classifier,Ovr_Rank,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Orig Mean Difference,Orig Disparate Impact,Accuracy,Precision,Recall,AUC,Dataset,Sens_Attr,Valid,Time,Failed,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Perf_Rank,Fair_Rank,Rank
-,gsr_eo1,-,-,1.0,-0.160121940416589,0.33808287538386944,0.1249638347006005,-0.04909634302253694,-0.030297576193904496,-0.1948585197368695,0.3597656087479207,0.849624060150376,0.7380396732788798,0.5813419117647058,0.9043307999160644,Adult,Sex,Valid,{22.81},,0.13138637283674745,-0.06237493582606472,-0.05260245846998912,5,25.5,75.0,1.0
di1,pr2,-,-,1.0,-0.2204738936931268,0.2521830305893664,0.11281479723054318,-0.1294278354045585,-0.14686158440658081,-0.1948585197368695,0.3597656087479207,0.8478549314462627,0.6986097318768619,0.6465992647058824,0.905255270607078,Adult,Sex,Valid,{41.7},,0.13138637283674745,-0.06237493582606472,-0.05260245846998912,2,28.5,72.0,1.0
rw1,gsr_eo2,-,-,1.0,-0.160121940416589,0.33808287538386944,0.1249638347006005,-0.04909634302253694,-0.030297576193904496,-0.1948585197368695,0.3597656087479207,0.849624060150376,0.7380396732788798,0.5813419117647058,0.9043307999160644,Adult,Sex,Valid,{22.55},,0.13138637283674745,-0.06237493582606472,-0.05260245846998912,5,25.5,75.0,1.0
di1,gsr_eo2,-,-,4.0,-0.1958828170146758,0.3005006211653156,0.11548955803015554,-0.08916936436661237,-0.08351998506786118,-0.1948585197368695,0.3597656087479207,0.8479655019902698,0.7050691244239631,0.6328125,0.9048708551380655,Adult,Sex,Valid,{26.89},,0.13138637283674745,-0.06237493582606472,-0.05260245846998912,2,29.5,73.0,4.0
-,pr1,-,-,5.0,-0.09534611706256456,0.5468565771851163,0.12273367655080243,-0.045541805661066824,-0.057627688172043,-0.11155055296060618,0.5657737295792533,0.8488500663423264,0.7276308384918402,0.5942095588235294,0.9047581066497653,Adult,Race,Valid,{48.75},,0.13138637283674745,0.07090272250534913,0.12247983870967738,5,27.25,75.5,5.0
di1,pr2,-,-,5.0,-0.14137240404729115,0.4535440057771624,0.10719844686733238,-0.10389979284736588,-0.1421370967741935,-0.11155055296060618,0.5657737295792533,0.846859796550199,0.683697166744078,0.6764705882352942,0.9050368664137176,Adult,Race,Valid,{43.96},,0.13138637283674745,0.07090272250534913,0.12247983870967738,2,31.75,71.0,5.0
rw1,pr2,-,-,5.0,-0.09534611706256456,0.5468565771851163,0.12273367655080243,-0.045541805661066824,-0.057627688172043,-0.11155055296060618,0.5657737295792533,0.8488500663423264,0.7276308384918402,0.5942095588235294,0.9047581066497653,Adult,Race,Valid,{48.06},,0.13138637283674745,0.07090272250534913,0.12247983870967738,5,27.25,75.5,5.0
-,pr1,-,-,8.0,-0.1763476912490423,0.3050027841642342,0.12194894938299376,-0.0724538036286483,-0.06570807668719836,-0.1948585197368695,0.3597656087479207,0.8501769128704113,0.7315284827975184,0.5960477941176471,0.903430618661996,Adult,Sex,Valid,{71.48},,0.13138637283674745,-0.06237493582606472,-0.05260245846998912,3,29.5,74.5,8.0
rw1,pr2,-,-,8.0,-0.1763476912490423,0.3050027841642342,0.12194894938299376,-0.0724538036286483,-0.06570807668719836,-0.1948585197368695,0.3597656087479207,0.8501769128704113,0.7315284827975184,0.5960477941176471,0.903430618661996,Adult,Sex,Valid,{68.01},,0.13138637283674745,-0.06237493582606472,-0.05260245846998912,3,29.5,74.5,8.0
di1,gsr_eo2,-,-,10.0,-0.09900076288342291,0.5871582657944519,0.112040259289787,-0.031162694660678326,-0.023017473118279508,-0.11155055296060618,0.5657737295792533,0.8474126492702344,0.6952894995093228,0.6511948529411765,0.9038253387406214,Adult,Race,Valid,{27.67},,0.13138637283674745,0.07090272250534913,0.12247983870967738,4,35.75,69.0,10.0
