Pre,In_p,Post,Classifier,Ovr_Rank,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Orig Mean Difference,Orig Disparate Impact,Accuracy,Precision,Recall,AUC,Dataset,Sens_Attr,Valid,Time,Failed,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Perf_Rank,Fair_Rank,Rank
-,pr1,-,-,1.0,-0.09395967328582529,0.5611841470241887,0.11990563462761707,-0.08897540428457602,-0.1598278455624269,-0.09858343942725817,0.6122252211238293,0.8501769128704113,0.7258241758241758,0.6067983463481855,0.902772300990959,Adult,Race,Valid,{59.72},,0.14447517109738128,0.03280595796506555,0.05440414507772018,3,24.0,71.5,1.0
rw1,pr2,-,-,1.0,-0.09395967328582529,0.5611841470241887,0.11990563462761707,-0.08897540428457602,-0.1598278455624269,-0.09858343942725817,0.6122252211238293,0.8501769128704113,0.7258241758241758,0.6067983463481855,0.902772300990959,Adult,Race,Valid,{61.13},,0.14447517109738128,0.03280595796506555,0.05440414507772018,3,24.0,71.5,1.0
-,gsr_eo1,-,-,3.0,-0.07905912600651444,0.630109460818442,0.11931760152240448,-0.05849218079565859,-0.10650227728564265,-0.09858343942725817,0.6122252211238293,0.8500663423264042,0.7237057220708447,0.6100137804317869,0.9027562803443255,Adult,Race,Valid,{14.02},,0.14447517109738128,0.03280595796506555,0.05440414507772018,2,26.0,70.5,3.0
rw1,gsr_eo2,-,-,3.0,-0.07905912600651444,0.630109460818442,0.11931760152240448,-0.05849218079565859,-0.10650227728564265,-0.09858343942725817,0.6122252211238293,0.8500663423264042,0.7237057220708447,0.6100137804317869,0.9027562803443255,Adult,Race,Valid,{14.63},,0.14447517109738128,0.03280595796506555,0.05440414507772018,2,26.0,70.5,3.0
-,pr1,-,-,5.0,-0.17329507842517294,0.33573857533121676,0.11894194891643635,-0.05349743289756443,-0.025225180883004406,-0.19183395271994255,0.36778924190238754,0.8498452012383901,0.721710882512182,0.6123105190629307,0.9043759376175418,Adult,Sex,Valid,{62.18},,0.14447517109738128,-0.043493155210413026,-0.019971780610654466,3,23.25,74.0,5.0
rw1,pr2,-,-,5.0,-0.17329507842517294,0.33573857533121676,0.11894194891643635,-0.05349743289756443,-0.025225180883004406,-0.19183395271994255,0.36778924190238754,0.8498452012383901,0.721710882512182,0.6123105190629307,0.9043759376175418,Adult,Sex,Valid,{62.65},,0.14447517109738128,-0.043493155210413026,-0.019971780610654466,3,23.25,74.0,5.0
-,gsr_eo1,-,-,7.0,-0.16529408238416923,0.3566847317951162,0.11931760152240448,-0.03727611097156824,0.002483962527276007,-0.19183395271994255,0.36778924190238754,0.8500663423264042,0.7237057220708447,0.6100137804317869,0.9027562803443255,Adult,Sex,Valid,{13.66},,0.14447517109738128,-0.043493155210413026,-0.019971780610654466,5,26.0,72.5,7.0
di1,gsr_eo2,-,-,7.0,-0.08509821266182768,0.6392686303026055,0.11214887673429297,-0.05774178460452805,-0.09918466906234336,-0.09858343942725817,0.6122252211238293,0.8479655019902698,0.6977317554240631,0.6499770326136886,0.9019982596025715,Adult,Race,Valid,{21.23},,0.14447517109738128,0.03280595796506555,0.05440414507772018,2,34.5,64.0,7.0
rw1,gsr_eo2,-,-,7.0,-0.16529408238416923,0.3566847317951162,0.11931760152240448,-0.03727611097156824,0.002483962527276007,-0.19183395271994255,0.36778924190238754,0.8500663423264042,0.7237057220708447,0.6100137804317869,0.9027562803443255,Adult,Sex,Valid,{14.66},,0.14447517109738128,-0.043493155210413026,-0.019971780610654466,5,26.0,72.5,7.0
di1,gsr_eo2,-,-,10.0,-0.18410030101794747,0.33964729976650193,0.11343386806125798,-0.0557260340109835,-0.020045610408360837,-0.19183395271994255,0.36778924190238754,0.8494029190623618,0.7061203844208397,0.6412494258153422,0.9037399279800024,Adult,Sex,Valid,{18.61},,0.14447517109738128,-0.043493155210413026,-0.019971780610654466,3,27.25,71.5,10.0
