Pre,In_p,Post,Classifier,Ovr_Rank,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,Failed,Orig Mean Difference,Orig Disparate Impact,AUC,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Perf_Rank,Fair_Rank,Rank
-,pr1,-,-,1.0,-0.18110551711304407,0.30967777387578355,0.12201847128376606,-0.08861190288957829,-0.100082634977949,0.8505086245024326,0.7427635172037138,0.606871932173137,Adult,Sex,Valid,{65.86},,-0.19339117633753733,0.37965193938997704,0.9056461690425445,0.13330377790505651,-0.07918037649525933,-0.09335057889394877,3,20.25,74.0,1.0
rw1,pr2,-,-,1.0,-0.18110551711304407,0.30967777387578355,0.12201847128376606,-0.08861190288957829,-0.100082634977949,0.8505086245024326,0.7427635172037138,0.606871932173137,Adult,Sex,Valid,{66.62},,-0.19339117633753733,0.37965193938997704,0.9056461690425445,0.13330377790505651,-0.07918037649525933,-0.09335057889394877,3,20.25,74.0,1.0
di1,pr2,-,-,3.0,-0.20203586694882825,0.29757432358342495,0.11525349810257372,-0.10912224093989288,-0.125174027467148,0.849624060150376,0.7205808713069605,0.642124051762606,Adult,Sex,Valid,{47.27},,-0.19339117633753733,0.37965193938997704,0.9058802049624667,0.13330377790505651,-0.07918037649525933,-0.09335057889394877,2,24.25,72.0,3.0
di1,gsr_eo2,-,-,4.0,-0.09981207900816766,0.600956847541858,0.10953572537530057,-0.033396537999275486,-0.02368936795688381,0.8488500663423264,0.7045880149812734,0.6715751896474788,Adult,Race,Valid,{30.79},,-0.10411148351827143,0.6031419197588673,0.9051753094990576,0.13330377790505651,0.05749015355283776,0.09939000489955907,5,30.5,68.0,4.0
di1,gsr_eo2,cpp3,-,5.0,-0.09981207900816766,0.600956847541858,0.10953572537530057,-0.033396537999275486,-0.02368936795688381,0.8488500663423264,0.7045880149812734,0.6715751896474788,Adult,Race,Valid,{31.88},,-0.10411148351827143,0.6031419197588673,0.9051697996847994,0.13330377790505651,0.05749015355283776,0.09939000489955907,5,31.25,68.0,5.0
-,gsr_eo1,-,-,6.0,-0.17411582729906777,0.32956545633507817,0.12415907969051733,-0.07946180703032665,-0.08595385016122803,0.8477443609022557,0.7363238512035011,0.6006247211066488,Adult,Sex,Valid,{23.11},,-0.19339117633753733,0.37965193938997704,0.9047935580825925,0.13330377790505651,-0.07918037649525933,-0.09335057889394877,4,27.75,73.5,6.0
rw1,gsr_eo2,-,-,6.0,-0.17411582729906777,0.32956545633507817,0.12415907969051733,-0.07946180703032665,-0.08595385016122803,0.8477443609022557,0.7363238512035011,0.6006247211066488,Adult,Sex,Valid,{25.3},,-0.19339117633753733,0.37965193938997704,0.9047935580825925,0.13330377790505651,-0.07918037649525933,-0.09335057889394877,4,27.75,73.5,6.0
-,pr1,-,-,8.0,-0.09770183202629266,0.5549647229715708,0.12200359648235427,-0.04717729369883434,-0.054894659480646646,0.8486289252543122,0.734156820622986,0.609995537706381,Adult,Race,Valid,{56.77},,-0.10411148351827143,0.6031419197588673,0.9047791932097048,0.13330377790505651,0.05749015355283776,0.09939000489955907,5,29.75,74.0,8.0
rw1,pr2,-,-,8.0,-0.09770183202629266,0.5549647229715708,0.12200359648235427,-0.04717729369883434,-0.054894659480646646,0.8486289252543122,0.734156820622986,0.609995537706381,Adult,Race,Valid,{56.03},,-0.10411148351827143,0.6031419197588673,0.9047791932097048,0.13330377790505651,0.05749015355283776,0.09939000489955907,5,29.75,74.0,8.0
di1,-,-,Random Forest,10.0,-0.1938191356933292,0.33113612978807194,0.11406086686773463,-0.09769437572041907,-0.11069943323183595,0.8485183547103051,0.7133757961783439,0.6497099509147702,Adult,Sex,Valid,{6.83},,-0.19339117633753733,0.37965193938997704,0.8987084601820482,0.12100090613748839,-0.08074088414745899,-0.07943287255351061,2,36.25,69.5,10.0
di1,gsr_eo2,-,-,11.0,-0.19288671676133085,0.32040553169014224,0.11643456594620272,-0.09381685419976968,-0.10027574932859085,0.8484077841662981,0.7185929648241206,0.6381079875055778,Adult,Sex,Valid,{33.07},,-0.19339117633753733,0.37965193938997704,0.9044077398984608,0.13330377790505651,-0.07918037649525933,-0.09335057889394877,3,35.0,71.5,11.0
di1,gsr_eo2,eop3,-,12.0,-0.07284460316943803,0.7058998377487141,0.11224465197512705,-0.012617776830042796,-0.010850073493385515,0.8442061034940291,0.6936685288640596,0.6648817492190986,Adult,Race,Valid,{31.33},,-0.10411148351827143,0.6031419197588673,0.9051753094990576,0.13330377790505651,0.05749015355283776,0.09939000489955907,4,37.25,70.0,12.0
-,gsr_eo1,-,-,13.0,-0.08137589079431193,0.6188414025407906,0.12415907969051733,-0.029282671258213894,-0.033625673689367974,0.8477443609022557,0.7363238512035011,0.6006247211066488,Adult,Race,Valid,{26.8},,-0.10411148351827143,0.6031419197588673,0.9047935580825925,0.13330377790505651,0.05749015355283776,0.09939000489955907,4,27.75,80.0,13.0
rw1,gsr_eo2,-,-,13.0,-0.08137589079431193,0.6188414025407906,0.12415907969051733,-0.029282671258213894,-0.033625673689367974,0.8477443609022557,0.7363238512035011,0.6006247211066488,Adult,Race,Valid,{25.7},,-0.10411148351827143,0.6031419197588673,0.9047935580825925,0.13330377790505651,0.05749015355283776,0.09939000489955907,4,27.75,80.0,13.0
-,gsr_eo1,eop2,-,15.0,-0.06634424522469168,0.6892485082190841,0.12451459025792685,-0.016293949453702612,-0.023625673689367965,0.8460858027421495,0.7298321602598808,0.6015171798304328,Adult,Race,Valid,{29.98},,-0.10411148351827143,0.6031419197588673,0.9047935580825925,0.13330377790505651,0.05749015355283776,0.09939000489955907,4,33.0,75.0,15.0
rw1,gsr_eo2,eop3,-,16.0,-0.06634424522469168,0.6892485082190841,0.12483512074604704,-0.020354099829642466,-0.033625673689367974,0.8456435205661211,0.7287493232268544,0.6006247211066488,Adult,Race,Valid,{24.13},,-0.10411148351827143,0.6031419197588673,0.9047935580825925,0.13330377790505651,0.05749015355283776,0.09939000489955907,4,34.0,75.0,16.0
di1,pr2,-,-,17.0,-0.13397749829162736,0.4842429803518749,0.10893027791298968,-0.09593329752370597,-0.12887800097991176,0.846859796550199,0.6963302752293578,0.677376171352075,Adult,Race,Valid,{43.39},,-0.10411148351827143,0.6031419197588673,0.9046341670272644,0.13330377790505651,0.05749015355283776,0.09939000489955907,2,40.0,69.5,17.0
rw1,gsr_eo2,cpp3,-,18.0,-0.0829581692753246,0.6114301282588649,0.12424811778243373,-0.03225259607024397,-0.03862567368936798,0.8477443609022557,0.7365826944140197,0.6001784917447568,Adult,Race,Valid,{23.16},,-0.10411148351827143,0.6031419197588673,0.904458508901269,0.13330377790505651,0.05749015355283776,0.09939000489955907,4,34.0,80.5,18.0
-,gsr_eo1,cpp2,-,19.0,-0.08454044775633726,0.6040188539769392,0.1244978359439394,-0.03725259607024392,-0.048625673689367876,0.8475232198142415,0.7362938596491229,0.5992860330209728,Adult,Race,Valid,{27.02},,-0.10411148351827143,0.6031419197588673,0.9043209603238931,0.13330377790505651,0.05749015355283776,0.09939000489955907,4,38.0,79.5,19.0
rw1,-,-,Naive Bayes,19.0,-0.1177988025121213,0.6190878289508297,0.10192988098817003,-0.05052032115424009,-0.04130328270455663,0.8249668288367978,0.6242447129909365,0.7376171352074966,Adult,Race,Valid,{0.11},,-0.10411148351827143,0.6031419197588673,0.8955727199388306,0.0969446818666557,-0.1031566356079979,-0.10962028417442427,2,60.0,57.5,19.0
-,pr1,eop2,-,21.0,-0.06570157170284077,0.6913295725554944,0.12706334083654414,-0.015362732524054769,-0.020786379225869678,0.8428792569659442,0.7225841476655809,0.5939312806782686,Adult,Race,Valid,{56.49},,-0.10411148351827143,0.6031419197588673,0.9047791932097048,0.13330377790505651,0.05749015355283776,0.09939000489955907,4,44.0,74.5,21.0
rw1,pr2,eop3,-,21.0,-0.06570157170284077,0.6913295725554944,0.12706334083654414,-0.015362732524054769,-0.020786379225869678,0.8428792569659442,0.7225841476655809,0.5939312806782686,Adult,Race,Valid,{57.01},,-0.10411148351827143,0.6031419197588673,0.9047791932097048,0.13330377790505651,0.05749015355283776,0.09939000489955907,4,44.0,74.5,21.0
rw1,-,-,Random Forest,23.0,-0.08583270964172987,0.6265221023419136,0.11986107714817931,-0.020574721076618126,-0.007143557079862806,0.8448695267580717,0.7126903553299493,0.6265060240963856,Adult,Race,Valid,{2.93},,-0.10411148351827143,0.6031419197588673,0.8908645836551491,0.12245999393109673,-0.029697844089970154,-0.025284174424301864,4,47.5,72.0,23.0
-,-,-,Random Forest,24.0,-0.1822546222289314,0.3449006957531343,0.12100090613748839,-0.08074088414745899,-0.07943287255351061,0.8432109685979655,0.708777270421106,0.6233824185631415,Adult,Sex,Valid,{2.69},,-0.19339117633753733,0.37965193938997704,0.8905916510702847,0.12100090613748839,-0.08074088414745899,-0.07943287255351061,2,51.75,69.5,24.0
