Pre,In_p,Post,Classifier,Ovr_Rank,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,Failed,Orig Mean Difference,Orig Disparate Impact,AUC,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Perf_Rank,Fair_Rank,Rank
di1,gsr_eo2,-,-,11.0,-0.22798221599828944,0.24749752522587457,0.11303575249432772,-0.14279350271332672,-0.18056279312141743,0.8486289252543122,0.7114451988360815,0.6546184738955824,Adult,Sex,Valid,{20.23},,-0.20787328732596289,0.34247480246555784,0.9050255934151948,0.1450426100556762,-0.1360620395426585,-0.18176359970093126,3,34.5,73.5,11.0
di1,gsr_eo2,-,-,12.0,-0.09588729621554781,0.6067458278561086,0.11344664687765157,-0.04017001429973464,-0.044480646741793195,0.8466386554621849,0.70489443378119,0.6555109326193663,Adult,Race,Valid,{26.38},,-0.10411148351827143,0.6031419197588673,0.9043379489178562,0.1450426100556762,0.032063451007937144,0.05466682998530126,3,38.75,71.0,12.0
-,pr1,eop2,-,13.0,-0.07529286388337511,0.6566362948343152,0.12164176088912022,-0.03948385055145016,-0.06979421852033307,0.8475232198142415,0.7282838983050848,0.6135653726015172,Adult,Race,Valid,{59.88},,-0.10411148351827143,0.6031419197588673,0.9055474843335974,0.1450426100556762,0.032063451007937144,0.05466682998530126,2,32.75,78.0,13.0
rw1,pr2,eop3,-,14.0,-0.07529286388337511,0.6566362948343152,0.12180127007806509,-0.04151392573942008,-0.07479421852033308,0.8473020787262273,0.7277542372881356,0.6131191432396251,Adult,Race,Valid,{63.21},,-0.10411148351827143,0.6031419197588673,0.9055474843335974,0.1450426100556762,0.032063451007937144,0.05466682998530126,2,33.75,78.0,14.0
di1,gsr_eo2,cpp3,-,15.0,-0.09984299241807948,0.5905226773786725,0.11406342984582792,-0.05267001429973465,-0.06948064674179322,0.8460858027421495,0.7041847041847041,0.6532797858099063,Adult,Race,Valid,{30.05},,-0.10411148351827143,0.6031419197588673,0.9031339889093998,0.1450426100556762,0.032063451007937144,0.05466682998530126,3,42.25,71.0,15.0
rw1,-,-,Naive Bayes,16.0,-0.1225037421496209,0.6184631249303241,0.09585217578906656,-0.04830425272111512,-0.03178098971092602,0.8268465280849182,0.6227719170607494,0.7639446675591254,Adult,Race,Valid,{0.11},,-0.10411148351827143,0.6031419197588673,0.8980783735658002,0.09324782616363396,-0.12620099941319382,-0.14862812346888776,2,60.75,53.0,16.0
rw1,gsr_eo2,eop3,-,17.0,-0.06593871009729588,0.6917048289922104,0.1228939668851573,-0.022197656471470942,-0.03999510044096033,0.8480760725342769,0.7341977309562399,0.606425702811245,Adult,Race,Valid,{17.63},,-0.10411148351827143,0.6031419197588673,0.905094105331775,0.1450426100556762,0.032063451007937144,0.05466682998530126,4,33.25,82.5,17.0
rw1,gsr_eo2,cpp3,-,18.0,-0.08650833035046043,0.5955319650681598,0.1230875779529892,-0.04862622790004233,-0.07499510044096025,0.8494029190623618,0.7408219178082192,0.6033020972780009,Adult,Race,Valid,{17.51},,-0.10411148351827143,0.6031419197588673,0.9043340461327565,0.1450426100556762,0.032063451007937144,0.05466682998530126,3,35.0,81.0,18.0
rw1,pr2,cpp3,-,19.0,-0.09632781230679119,0.5552341959959434,0.12271532499530875,-0.053286482095574364,-0.0719549240568349,0.8491817779743477,0.738704409363092,0.605533244087461,Adult,Race,Valid,{61.69},,-0.10411148351827143,0.6031419197588673,0.9035924841673191,0.1450426100556762,0.032063451007937144,0.05466682998530126,3,36.25,80.5,19.0
-,gsr_eo1,cpp2,-,20.0,-0.0880906088314731,0.5881340524586174,0.12333702911027929,-0.05362622790004234,-0.08499510044096026,0.8491817779743477,0.7405375754251234,0.6024096385542169,Adult,Race,Valid,{19.88},,-0.10411148351827143,0.6031419197588673,0.9040259884819957,0.1450426100556762,0.032063451007937144,0.05466682998530126,3,37.0,80.5,20.0
