Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,Failed,Orig Mean Difference,Orig Disparate Impact,AUC,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
di1,gsr_eo2,eop3,-,-0.04190556766782727,0.814124677049204,0.12891728495180116,0.018783724983684705,0.03029397354238117,0.8311587793011942,0.6797583081570997,0.6024096385542169,Adult,Race,Valid,{27.89},,-0.10411148351827143,0.6031419197588673,0.9027033050948793,0.15366163199540764,0.03229879158043353,0.06573493385595292,4,1.0,13.0
di1,egr_fp2,roc3,-,-0.011908984413133317,0.9499989753188466,0.11986453703604402,0.017109535289245574,-0.024292013718765326,0.8339230429013711,0.6727442730247779,0.642124051762606,Adult,Race,Valid,{102.75},,-0.10411148351827143,0.6031419197588673,0.7834662018482409,0.15366163199540764,0.03229879158043353,0.06573493385595292,4,2.0,34.0
rw1,gsr_eo2,eop3,-,-0.037510575640232996,0.8091352004702337,0.1376048232999989,0.023521503289435898,0.03977951984321404,0.8353604599734631,0.7173410404624277,0.5537706381079875,Adult,Race,Valid,{19.75},,-0.10411148351827143,0.6031419197588673,0.9026191492413871,0.15366163199540764,0.03229879158043353,0.06573493385595292,4,3.0,11.0
-,gsr_eo1,-,-,-0.0783000065080863,0.6360967439468869,0.12611724269852786,-0.024144955858467432,-0.02421607055365027,0.843874391862008,0.7244179750947483,0.5970548862115127,Adult,Race,Valid,{19.36},,-0.10411148351827143,0.6031419197588673,0.9026191492413871,0.15366163199540764,0.03229879158043353,0.06573493385595292,4,4.0,7.0
rw1,gsr_eo2,-,-,-0.0783000065080863,0.6360967439468869,0.12611724269852786,-0.024144955858467432,-0.02421607055365027,0.843874391862008,0.7244179750947483,0.5970548862115127,Adult,Race,Valid,{18.56},,-0.10411148351827143,0.6031419197588673,0.9026191492413871,0.15366163199540764,0.03229879158043353,0.06573493385595292,4,4.0,7.0
rw1,-,eop2,Random Forest,-0.0369903354918486,0.8369491160755909,0.12418057350754394,0.027157356271717337,0.041085252327290545,0.8365767359575409,0.6902743142144638,0.6175814368585453,Adult,Race,Valid,{2.98},,-0.10411148351827143,0.6031419197588673,0.8920767755884794,0.11990306087906266,-0.0174989101248218,0.007366487016168599,1,6.0,9.0
-,gsr_eo1,eop2,-,-0.037510575640232996,0.8091352004702337,0.13939191318307856,0.02306997569937156,0.039679078882900454,0.8329279080053074,0.7109826589595376,0.5488621151271754,Adult,Race,Valid,{21.53},,-0.10411148351827143,0.6031419197588673,0.9026191492413871,0.15366163199540764,0.03229879158043353,0.06573493385595292,4,7.0,4.0
-,pr1,-,-,-0.08293823826103933,0.6129217194535777,0.12514036803354064,-0.025110201528932778,-0.020195982361587483,0.8460858027421495,0.7315875613747954,0.5983935742971888,Adult,Race,Valid,{67.27},,-0.10411148351827143,0.6031419197588673,0.9016779876951417,0.15366163199540764,0.03229879158043353,0.06573493385595292,4,8.0,39.0
rw1,pr2,-,-,-0.08293823826103933,0.6129217194535777,0.12514036803354064,-0.025110201528932778,-0.020195982361587483,0.8460858027421495,0.7315875613747954,0.5983935742971888,Adult,Race,Valid,{68.6},,-0.10411148351827143,0.6031419197588673,0.9016779876951417,0.15366163199540764,0.03229879158043353,0.06573493385595292,4,8.0,39.0
di1,-,eop2,Naive Bayes,-0.05409277277016694,0.8670746139760269,0.09205541303759822,0.003340957797762917,1.4698677119007186e-05,0.7641530296329058,0.5149501661129569,0.8299866131191432,Adult,Race,Valid,{4.52},,-0.10411148351827143,0.6031419197588673,0.8961963784384439,0.09321970882361034,-0.11193665245360165,-0.11705781479666821,4,10.0,47.0
