Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,Failed,Orig Mean Difference,Orig Disparate Impact,AUC,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
di1,egr_fp2,roc3,-,-0.0179411668998731,0.9250766084374596,0.1187489366551725,0.020907636207844978,-0.006251837334639854,0.835249889429456,0.675221651889874,0.6456938866577421,Adult,Race,Valid,{100.18},,-0.10411148351827143,0.6031419197588673,0.7910554462447763,0.12965673819646384,0.023372121648678024,0.051952474277315086,4,1.0,27.0
-,gsr_eo1,-,-,-0.07786559174774657,0.6319597182275405,0.12497889468995688,-0.0192093458296414,-0.013236158745712934,0.8474126492702344,0.7371900826446282,0.5970548862115127,Adult,Race,Valid,{16.29},,-0.10411148351827143,0.6031419197588673,0.9025673307501487,0.12965673819646384,0.023372121648678024,0.051952474277315086,4,2.0,10.0
rw1,gsr_eo2,-,-,-0.07786559174774657,0.6319597182275405,0.12497889468995688,-0.0192093458296414,-0.013236158745712934,0.8474126492702344,0.7371900826446282,0.5970548862115127,Adult,Race,Valid,{17.49},,-0.10411148351827143,0.6031419197588673,0.9025673307501487,0.12965673819646384,0.023372121648678024,0.051952474277315086,4,2.0,10.0
rw1,-,cpp2,Logistic Regression,-0.03989700953434641,0.7792327637430903,0.14087384311590234,0.009916388043871769,0.010847623713865828,0.8397832817337462,0.75,0.5301204819277109,Adult,Race,Valid,{0.39},,-0.10411148351827143,0.6031419197588673,0.8783192613333106,0.12965673819646384,0.023372121648678024,0.051952474277315086,3,4.0,16.0
di1,pr2,roc3,-,-0.035337688327747196,0.9076495750117994,0.08242586186479747,0.04613554808015485,0.06982606565409122,0.7964396284829721,0.5585480093676815,0.8514056224899599,Adult,Race,Valid,{67.97},,-0.10411148351827143,0.6031419197588673,0.9050709509932849,0.12965673819646384,0.023372121648678024,0.051952474277315086,2,5.0,47.0
di1,gsr_eo2,-,-,-0.08863159350492988,0.6123924691015433,0.11827742361179411,-0.027621079621079545,-0.021553160215580625,0.8479655019902698,0.7213701431492843,0.6296296296296297,Adult,Race,Valid,{25.15},,-0.10411148351827143,0.6031419197588673,0.9045763139775527,0.12965673819646384,0.023372121648678024,0.051952474277315086,3,6.0,21.0
-,pr1,roc2,-,-0.03244321694705671,0.9116217689607489,0.08522760646992876,0.05093913307942968,0.07795443410093095,0.8029632905793896,0.5699908508691675,0.8340026773761714,Adult,Race,Valid,{44.68},,-0.10411148351827143,0.6031419197588673,0.9044682822622746,0.12965673819646384,0.023372121648678024,0.051952474277315086,2,7.0,18.0
rw1,pr2,roc3,-,-0.03244321694705671,0.9116217689607489,0.08522760646992876,0.05093913307942968,0.07795443410093095,0.8029632905793896,0.5699908508691675,0.8340026773761714,Adult,Race,Valid,{48.06},,-0.10411148351827143,0.6031419197588673,0.9044682822622746,0.12965673819646384,0.023372121648678024,0.051952474277315086,2,7.0,18.0
-,gsr_eo1,eop2,-,-0.035356399075851724,0.8119803248051084,0.13914341450723666,0.03618024907581959,0.0689882410583047,0.8377930119416187,0.7336956521739131,0.5421686746987951,Adult,Race,Valid,{16.06},,-0.10411148351827143,0.6031419197588673,0.9025673307501487,0.12965673819646384,0.023372121648678024,0.051952474277315086,1,9.0,7.0
rw1,pr2,eop3,-,-0.042527496664605785,0.7650114175776754,0.14463771999437808,0.018526816541858344,0.03858647721705055,0.8348076072534277,0.7359444093493367,0.5198572066041945,Adult,Race,Valid,{30.06},,-0.10411148351827143,0.6031419197588673,0.9044682822622746,0.12965673819646384,0.023372121648678024,0.051952474277315086,3,9.0,1.0
-,pr1,eop2,-,-0.042527496664605785,0.7650114175776754,0.1461255150397011,0.015571649484452402,0.032016168544831025,0.8328173374613003,0.7302590018951358,0.5158411423471665,Adult,Race,Valid,{27.89},,-0.10411148351827143,0.6031419197588673,0.9044682822622746,0.12965673819646384,0.023372121648678024,0.051952474277315086,3,11.0,4.0
rw1,gsr_eo2,eop3,-,-0.035356399075851724,0.8119803248051084,0.13979895032051,0.03681166811498187,0.07094806467417936,0.8369084475895622,0.731280193236715,0.5403837572512271,Adult,Race,Valid,{17.52},,-0.10411148351827143,0.6031419197588673,0.9025673307501487,0.12965673819646384,0.023372121648678024,0.051952474277315086,1,12.0,12.0
-,gsr_eo1,roc2,-,-0.04616958445868996,0.8740535178511193,0.08480442684496602,0.04282897923166337,0.07795443410093095,0.8053958425475454,0.5738409579367516,0.8340026773761714,Adult,Race,Valid,{32.6},,-0.10411148351827143,0.6031419197588673,0.9025673307501487,0.12965673819646384,0.023372121648678024,0.051952474277315086,2,13.0,8.0
