Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,Failed,Orig Mean Difference,Orig Disparate Impact,AUC,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
di1,gsr_eo2,-,-,-0.09278049851941036,0.6315302304844244,0.11138715303250674,-0.012939473612606264,0.018170014698677184,0.8446483856700575,0.6935185185185185,0.6684515841142347,Adult,Race,Valid,{24.94},,-0.10411148351827143,0.6031419197588673,0.9044977991243723,0.1290192859344025,0.07056241065265542,0.13518128368446836,4,1.0,6.0
-,pr1,eop2,-,-0.039943786404607745,0.7943331183137999,0.13640952726607353,0.01976653240940155,0.0333096521313081,0.8384564352056613,0.7286049237983587,0.5546630968317715,Adult,Race,Valid,{47.63},,-0.10411148351827143,0.6031419197588673,0.9030267443104444,0.1290192859344025,0.07056241065265542,0.13518128368446836,3,2.0,7.0
rw1,-,-,Random Forest,-0.08515017409130846,0.6309368498995098,0.11811264428364233,-0.0026054761453471915,0.03589661930426269,0.846749226006192,0.7160181910055584,0.6323070058009818,Adult,Race,Valid,{3.0},,-0.10411148351827143,0.6031419197588673,0.8882342048875594,0.11989782752042921,-0.015989002881781244,0.014916707496325343,3,3.0,4.0
rw1,pr2,eop3,-,-0.039943786404607745,0.7943331183137999,0.13706121106493116,0.024773811344084767,0.04624938755511998,0.8375718708536046,0.7262602579132473,0.5528781793842035,Adult,Race,Valid,{47.22},,-0.10411148351827143,0.6031419197588673,0.9030267443104444,0.1290192859344025,0.07056241065265542,0.13518128368446836,3,4.0,12.0
rw1,-,cpp2,Logistic Regression,-0.039427613810159134,0.8067127690970145,0.13038302133283453,0.02338405073756769,0.038321901028907424,0.8412206988058382,0.724233983286908,0.5800981704596162,Adult,Race,Valid,{0.37},,-0.10411148351827143,0.6031419197588673,0.8756173861664174,0.1290192859344025,0.07056241065265542,0.13518128368446836,3,5.0,14.0
di1,-,cpp2,Logistic Regression,-0.05089811590901694,0.7566150327153339,0.1289423817111475,0.015801978344688127,0.035972562469377745,0.8412206988058382,0.7203065134099617,0.5872378402498885,Adult,Race,Valid,{4.49},,-0.10411148351827143,0.6031419197588673,0.8777321053531584,0.1290192859344025,0.07056241065265542,0.13518128368446836,4,6.0,67.0
di1,egr_fp2,roc3,-,-0.02918347922293449,0.8824806064418063,0.11522337185604956,0.036246679478811314,0.04747917687408132,0.8359133126934984,0.6713444997736533,0.6617581436858545,Adult,Race,Valid,{99.75},,-0.10411148351827143,0.6031419197588673,0.7958831914129807,0.1290192859344025,0.07056241065265542,0.13518128368446836,4,7.0,30.0
-,egr_fp1,roc2,-,-0.0051963001529400366,0.97715976542945,0.12175186996334919,0.0507940084002596,0.05079617834394912,0.8370190181335693,0.6869819600195027,0.6287371709058456,Adult,Race,Valid,{122.8},,-0.10411148351827143,0.6031419197588673,0.7804261290347336,0.1290192859344025,0.07056241065265542,0.13518128368446836,4,8.0,22.0
rw1,egr_fp2,roc3,-,-0.0051963001529400366,0.97715976542945,0.12175186996334919,0.0507940084002596,0.05079617834394912,0.8370190181335693,0.6869819600195027,0.6287371709058456,Adult,Race,Valid,{113.19},,-0.10411148351827143,0.6031419197588673,0.7804261290347336,0.1290192859344025,0.07056241065265542,0.13518128368446836,4,8.0,22.0
-,-,cpp1,Logistic Regression,-0.053510705801958935,0.7322744108429321,0.1304987836182787,0.019603764036114083,0.05018128368446839,0.8444272445820433,0.7396551724137931,0.5742971887550201,Adult,Race,Valid,{0.29},,-0.10411148351827143,0.6031419197588673,0.8788233437449144,0.1290192859344025,0.07056241065265542,0.13518128368446836,3,10.0,62.0
-,pr1,-,-,-0.10027252611369626,0.5485415201593999,0.11887727289304864,-0.04614448193440164,-0.0501837334639883,0.8517249004865104,0.7391073326248672,0.6207050423917894,Adult,Race,Valid,{47.99},,-0.10411148351827143,0.6031419197588673,0.9030267443104444,0.1290192859344025,0.07056241065265542,0.13518128368446836,5,11.0,47.0
rw1,pr2,-,-,-0.10027252611369626,0.5485415201593999,0.11887727289304864,-0.04614448193440164,-0.0501837334639883,0.8517249004865104,0.7391073326248672,0.6207050423917894,Adult,Race,Valid,{47.64},,-0.10411148351827143,0.6031419197588673,0.9030267443104444,0.1290192859344025,0.07056241065265542,0.13518128368446836,5,11.0,47.0
-,-,-,Random Forest,-0.09264504897334941,0.6084853443711796,0.11989782752042921,-0.015989002881781244,0.014916707496325343,0.8414418398938522,0.6994562530894711,0.6314145470771977,Adult,Race,Valid,{2.69},,-0.10411148351827143,0.6031419197588673,0.8879244090215863,0.11989782752042921,-0.015989002881781244,0.014916707496325343,1,13.0,20.0
di1,pr2,roc3,-,-0.06320490709706811,0.836252355239697,0.0835583094106819,0.03947508853934169,0.09619549240568359,0.7950022114108801,0.5567282321899736,0.8473895582329317,Adult,Race,Valid,{60.43},,-0.10411148351827143,0.6031419197588673,0.9035335160361505,0.1290192859344025,0.07056241065265542,0.13518128368446836,4,14.0,14.0
di1,gsr_eo2,eop3,-,-0.03311436334645798,0.8520219719497742,0.1287869695128918,0.05477666905912108,0.1071533561979422,0.8316010614772225,0.6811301715438951,0.6024096385542169,Adult,Race,Valid,{25.89},,-0.10411148351827143,0.6031419197588673,0.9044977991243723,0.1290192859344025,0.07056241065265542,0.13518128368446836,4,15.0,2.0
