Pre,In_p,Post,Classifier,Ovr_Rank,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,Failed,Orig Mean Difference,Orig Disparate Impact,AUC,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Perf_Rank,Fair_Rank,Rank
-,gsr_eo1,-,-,1.0,-0.08943371514106277,0.5991968296097533,0.12000547102709994,-0.03947688577191946,-0.04920382165605097,0.8487394957983193,0.7291338582677165,0.6198125836680054,Adult,Race,Valid,{17.5},,-0.10411148351827143,0.6031419197588673,0.9022775735538885,0.13476625563363268,0.053506557041720304,0.0869402253797158,5,24.25,70.5,1.0
rw1,gsr_eo2,-,-,1.0,-0.08943371514106277,0.5991968296097533,0.12000547102709994,-0.03947688577191946,-0.04920382165605097,0.8487394957983193,0.7291338582677165,0.6198125836680054,Adult,Race,Valid,{17.28},,-0.10411148351827143,0.6031419197588673,0.9022775735538885,0.13476625563363268,0.053506557041720304,0.0869402253797158,5,24.25,70.5,1.0
-,gsr_eo1,-,-,3.0,-0.1891811319329409,0.3022528035662756,0.12000547102709994,-0.1002783185042956,-0.11564728254691914,0.8487394957983193,0.7291338582677165,0.6198125836680054,Adult,Sex,Valid,{17.65},,-0.1899145123896782,0.38442883023113794,0.9022775735538885,0.13476625563363268,-0.08697531963839975,-0.09664615507500607,3,24.25,73.5,3.0
-,pr1,-,-,3.0,-0.1818250696509091,0.3124844323955791,0.12214519049217147,-0.09326471056700594,-0.10749845625439702,0.848186643078284,0.732583065380493,0.609995537706381,Adult,Sex,Valid,{47.61},,-0.1899145123896782,0.38442883023113794,0.9029083816934322,0.13476625563363268,-0.08697531963839975,-0.09664615507500607,3,23.75,74.0,3.0
rw1,gsr_eo2,-,-,3.0,-0.1891811319329409,0.3022528035662756,0.12000547102709994,-0.1002783185042956,-0.11564728254691914,0.8487394957983193,0.7291338582677165,0.6198125836680054,Adult,Sex,Valid,{17.95},,-0.1899145123896782,0.38442883023113794,0.9022775735538885,0.13476625563363268,-0.08697531963839975,-0.09664615507500607,3,24.25,73.5,3.0
rw1,pr2,-,-,3.0,-0.1818250696509091,0.3124844323955791,0.12214519049217147,-0.09326471056700594,-0.10749845625439702,0.848186643078284,0.732583065380493,0.609995537706381,Adult,Sex,Valid,{48.75},,-0.1899145123896782,0.38442883023113794,0.9029083816934322,0.13476625563363268,-0.08697531963839975,-0.09664615507500607,3,23.75,74.0,3.0
di1,gsr_eo2,-,-,7.0,-0.09795280010412935,0.6091934436871147,0.11115577505279439,-0.037478353337126784,-0.03574963253307206,0.8460858027421495,0.6980867942137191,0.6675591253904507,Adult,Race,Valid,{23.79},,-0.10411148351827143,0.6031419197588673,0.9019432458958607,0.13476625563363268,0.053506557041720304,0.0869402253797158,4,35.5,63.5,7.0
di1,gsr_eo2,-,-,8.0,-0.20292987965545956,0.30372302306726867,0.11401348326870217,-0.10301333407739098,-0.1072511497448595,0.8480760725342769,0.7115666178623719,0.6506024096385542,Adult,Sex,Valid,{21.3},,-0.1899145123896782,0.38442883023113794,0.9022949557060128,0.13476625563363268,-0.08697531963839975,-0.09664615507500607,2,29.5,72.0,8.0
di1,pr2,-,-,9.0,-0.2133979751325121,0.2841742949753466,0.11265871815363258,-0.13188308916643587,-0.1633467175821104,0.8480760725342769,0.7085137085137085,0.6572958500669344,Adult,Sex,Valid,{51.7},,-0.1899145123896782,0.38442883023113794,0.9024532972729109,0.13476625563363268,-0.08697531963839975,-0.09664615507500607,2,28.5,73.5,9.0
di1,gsr_eo2,cpp3,-,10.0,-0.09473943249487488,0.6171050468518823,0.11237043948610932,-0.03324816165500546,-0.029380205781479707,0.8459752321981424,0.7001888574126535,0.6617581436858545,Adult,Race,Valid,{23.73},,-0.10411148351827143,0.6031419197588673,0.8999697156994877,0.13476625563363268,0.053506557041720304,0.0869402253797158,4,38.25,64.5,10.0
-,pr1,-,-,11.0,-0.08931616283231916,0.5893145704282251,0.12203964723899163,-0.050459934398954395,-0.07587457128858399,0.8490712074303406,0.7362459546925566,0.6091030789825971,Adult,Race,Valid,{77.55},,-0.10411148351827143,0.6031419197588673,0.9015165960524937,0.13476625563363268,0.053506557041720304,0.0869402253797158,5,29.5,73.5,11.0
rw1,pr2,-,-,11.0,-0.08931616283231916,0.5893145704282251,0.12203964723899163,-0.050459934398954395,-0.07587457128858399,0.8490712074303406,0.7362459546925566,0.6091030789825971,Adult,Race,Valid,{75.86},,-0.10411148351827143,0.6031419197588673,0.9015165960524937,0.13476625563363268,0.053506557041720304,0.0869402253797158,5,29.5,73.5,11.0
-,gsr_eo1,cpp2,-,13.0,-0.08776276398425045,0.6037177575174297,0.12098454092728998,-0.03692359143528551,-0.04479421852033316,0.848186643078284,0.7293868921775899,0.6157965194109772,Adult,Race,Valid,{17.79},,-0.10411148351827143,0.6031419197588673,0.9010412105901516,0.13476625563363268,0.053506557041720304,0.0869402253797158,4,32.5,71.5,13.0
-,gsr_eo1,eop2,-,14.0,-0.06569953792587288,0.7055631307239107,0.12104379005396164,-0.025379141411017207,-0.04920382165605097,0.8454223794781071,0.7178294573643411,0.6198125836680054,Adult,Race,Valid,{17.51},,-0.10411148351827143,0.6031419197588673,0.9022775735538885,0.13476625563363268,0.053506557041720304,0.0869402253797158,4,32.0,74.0,14.0
rw1,gsr_eo2,cpp3,-,15.0,-0.08712009046239955,0.6054747940643374,0.121606717887949,-0.03569870167536393,-0.04234443900049001,0.8476337903582486,0.7286698463169051,0.6135653726015172,Adult,Race,Valid,{17.68},,-0.10411148351827143,0.6031419197588673,0.9001948309677537,0.13476625563363268,0.053506557041720304,0.0869402253797158,4,36.25,71.5,15.0
rw1,gsr_eo2,eop3,-,16.0,-0.06569953792587288,0.7055631307239107,0.12120244127404863,-0.02740921659898713,-0.05420382165605098,0.8452012383900929,0.717312661498708,0.6193663543061133,Adult,Race,Valid,{17.68},,-0.10411148351827143,0.6031419197588673,0.9022775735538885,0.13476625563363268,0.053506557041720304,0.0869402253797158,4,34.0,74.0,16.0
di1,pr2,-,-,17.0,-0.13057580293514695,0.4953404138919805,0.10954393589396123,-0.10397691348991528,-0.15387800097991178,0.8463069438301637,0.6956321839080459,0.6751450245426149,Adult,Race,Valid,{46.11},,-0.10411148351827143,0.6031419197588673,0.9021664917628605,0.13476625563363268,0.053506557041720304,0.0869402253797158,2,34.75,74.0,17.0
di1,gsr_eo2,eop3,-,18.0,-0.07105406592691416,0.7165124959428758,0.11315782200020809,-0.03368136085592379,-0.06574963253307209,0.840999557717824,0.6844281120808452,0.6648817492190986,Adult,Race,Valid,{23.88},,-0.10411148351827143,0.6031419197588673,0.9019432458958607,0.13476625563363268,0.053506557041720304,0.0869402253797158,4,42.5,68.0,18.0
rw1,pr2,cpp3,-,19.0,-0.0787763170739644,0.6193293497916502,0.12842570747692666,-0.034160256571213465,-0.0474571288584027,0.8453118089341,0.7375846501128668,0.5832217759928603,Adult,Race,Valid,{77.72},,-0.10411148351827143,0.6031419197588673,0.8934486209492452,0.13476625563363268,0.053506557041720304,0.0869402253797158,4,37.25,74.5,19.0
