Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,Failed,AUC,Orig Disparate Impact,Orig Mean Difference,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
-,-,cpp1,Logistic Regression,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{1.17},,1.0,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,3,1.0,1.0
-,-,cpp1,Naive Bayes,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{0.29},,1.0,0.6240296610700021,-0.09771362793270641,0.0945244623995769,-0.12315440959591817,-0.130780922052544,3,1.0,7.0
-,-,cpp1,Random Forest,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{3.19},,1.0,0.6240296610700021,-0.09771362793270641,0.1207487541242279,-0.057475236612942626,-0.05248124291331935,3,1.0,7.0
-,-,roc1,Logistic Regression,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{29.39},,1.0,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,3,1.0,14.0
-,-,roc1,Naive Bayes,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{24.53},,1.0,0.6240296610700021,-0.09771362793270641,0.0945244623995769,-0.12315440959591817,-0.130780922052544,3,1.0,14.0
-,-,roc1,Random Forest,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{29.26},,1.0,0.6240296610700021,-0.09771362793270641,0.1207487541242279,-0.057475236612942626,-0.05248124291331935,3,1.0,14.0
-,pr1,roc2,-,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{158.28},,1.0,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,3,1.0,1.0
di1,-,cpp2,Logistic Regression,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{7.76},,1.0,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,3,1.0,7.0
di1,-,cpp2,Naive Bayes,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{6.51},,1.0,0.6240296610700021,-0.09771362793270641,0.0945244623995769,-0.12315440959591817,-0.130780922052544,3,1.0,1.0
di1,-,cpp2,Random Forest,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{9.63},,1.0,0.6240296610700021,-0.09771362793270641,0.1207487541242279,-0.057475236612942626,-0.05248124291331935,3,1.0,1.0
di1,-,roc2,Logistic Regression,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{30.99},,1.0,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,3,1.0,14.0
di1,-,roc2,Naive Bayes,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{35.72},,1.0,0.6240296610700021,-0.09771362793270641,0.0945244623995769,-0.12315440959591817,-0.130780922052544,3,1.0,14.0
di1,-,roc2,Random Forest,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{34.76},,1.0,0.6240296610700021,-0.09771362793270641,0.1207487541242279,-0.057475236612942626,-0.05248124291331935,3,1.0,20.0
di1,pr2,roc3,-,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{147.45},,1.0,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,3,1.0,7.0
rw1,-,cpp2,Logistic Regression,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{1.15},,1.0,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,3,1.0,7.0
rw1,-,cpp2,Naive Bayes,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{0.35},,1.0,0.6240296610700021,-0.09771362793270641,0.0945244623995769,-0.12315440959591817,-0.130780922052544,3,1.0,7.0
rw1,-,cpp2,Random Forest,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{3.25},,1.0,0.6240296610700021,-0.09771362793270641,0.1207487541242279,-0.057475236612942626,-0.05248124291331935,3,1.0,1.0
rw1,-,roc2,Logistic Regression,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{23.34},,1.0,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,3,1.0,13.0
rw1,-,roc2,Naive Bayes,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{24.14},,1.0,0.6240296610700021,-0.09771362793270641,0.0945244623995769,-0.12315440959591817,-0.130780922052544,3,1.0,20.0
rw1,-,roc2,Random Forest,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{30.87},,1.0,0.6240296610700021,-0.09771362793270641,0.1207487541242279,-0.057475236612942626,-0.05248124291331935,3,1.0,14.0
rw1,pr2,roc3,-,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{155.16},,1.0,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,3,1.0,1.0
-,-,cpp1,Logistic Regression,-0.19595914718965035,0.3679773460022858,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{0.66},,1.0,0.3679773460022858,-0.19595914718965035,0.13325527745151644,-0.04645117754226176,-0.03204244415904911,3,22.0,1.0
-,-,cpp1,Naive Bayes,-0.19595914718965035,0.3679773460022858,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{0.43},,1.0,0.3679773460022858,-0.19595914718965035,0.0945244623995769,-0.2051023306118226,-0.21438644204376622,3,22.0,7.0
-,-,cpp1,Random Forest,-0.19595914718965035,0.3679773460022858,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{3.12},,1.0,0.3679773460022858,-0.19595914718965035,0.12059512705886932,-0.04414037248781993,0.0011882727707688279,3,22.0,7.0
-,-,roc1,Logistic Regression,-0.19595914718965035,0.3679773460022858,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{28.17},,1.0,0.3679773460022858,-0.19595914718965035,0.13325527745151644,-0.04645117754226176,-0.03204244415904911,3,22.0,14.0
-,-,roc1,Naive Bayes,-0.19595914718965035,0.3679773460022858,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{24.8},,1.0,0.3679773460022858,-0.19595914718965035,0.0945244623995769,-0.2051023306118226,-0.21438644204376622,3,22.0,14.0
-,-,roc1,Random Forest,-0.19595914718965035,0.3679773460022858,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{29.08},,1.0,0.3679773460022858,-0.19595914718965035,0.12059512705886932,-0.04414037248781993,0.0011882727707688279,3,22.0,14.0
-,pr1,roc2,-,-0.19595914718965035,0.3679773460022858,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{100.65},,1.0,0.3679773460022858,-0.19595914718965035,0.13325527745151644,-0.04645117754226176,-0.03204244415904911,3,22.0,1.0
di1,-,cpp2,Logistic Regression,-0.19595914718965035,0.3679773460022858,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{6.84},,1.0,0.3679773460022858,-0.19595914718965035,0.13325527745151644,-0.04645117754226176,-0.03204244415904911,3,22.0,7.0
di1,-,cpp2,Naive Bayes,-0.19595914718965035,0.3679773460022858,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{6.28},,1.0,0.3679773460022858,-0.19595914718965035,0.0945244623995769,-0.2051023306118226,-0.21438644204376622,3,22.0,1.0
di1,-,cpp2,Random Forest,-0.19595914718965035,0.3679773460022858,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{9.74},,1.0,0.3679773460022858,-0.19595914718965035,0.12059512705886932,-0.04414037248781993,0.0011882727707688279,3,22.0,1.0
di1,-,roc2,Logistic Regression,-0.19595914718965035,0.3679773460022858,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{33.74},,1.0,0.3679773460022858,-0.19595914718965035,0.13325527745151644,-0.04645117754226176,-0.03204244415904911,3,22.0,14.0
di1,-,roc2,Naive Bayes,-0.19595914718965035,0.3679773460022858,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{35.59},,1.0,0.3679773460022858,-0.19595914718965035,0.0945244623995769,-0.2051023306118226,-0.21438644204376622,3,22.0,14.0
di1,-,roc2,Random Forest,-0.19595914718965035,0.3679773460022858,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{33.37},,1.0,0.3679773460022858,-0.19595914718965035,0.12059512705886932,-0.04414037248781993,0.0011882727707688279,3,22.0,20.0
