Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,Failed,AUC,Orig Disparate Impact,Orig Mean Difference,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
-,-,cpp1,Naive Bayes,-0.19801890614760276,0.3639989002863867,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{0.13},,1.0,0.3639989002863867,-0.19801890614760276,0.09476150603363609,-0.1932084249071155,-0.18495408935407165,3,22.0,4.0
-,-,cpp1,Random Forest,-0.19801890614760276,0.3639989002863867,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{3.0},,1.0,0.3639989002863867,-0.19801890614760276,0.11968978759475425,-0.0623760079631464,-0.03530414213223787,3,22.0,4.0
-,-,roc1,Logistic Regression,-0.19801890614760276,0.3639989002863867,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{31.51},,1.0,0.3639989002863867,-0.19801890614760276,0.13235324548201044,-0.07659947753750228,-0.07869828693517822,3,22.0,1.0
-,-,roc1,Naive Bayes,-0.19801890614760276,0.3639989002863867,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{28.55},,1.0,0.3639989002863867,-0.19801890614760276,0.09476150603363609,-0.1932084249071155,-0.18495408935407165,3,22.0,4.0
-,-,roc1,Random Forest,-0.19801890614760276,0.3639989002863867,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{27.3},,1.0,0.3639989002863867,-0.19801890614760276,0.11968978759475425,-0.0623760079631464,-0.03530414213223787,3,22.0,1.0
-,pr1,roc2,-,-0.19801890614760276,0.3639989002863867,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{180.57},,1.0,0.3639989002863867,-0.19801890614760276,0.13235324548201044,-0.07659947753750228,-0.07869828693517822,3,22.0,4.0
di1,-,cpp2,Logistic Regression,-0.19801890614760276,0.3639989002863867,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{11.23},,1.0,0.3639989002863867,-0.19801890614760276,0.13235324548201044,-0.07659947753750228,-0.07869828693517822,3,22.0,4.0
di1,-,cpp2,Naive Bayes,-0.19801890614760276,0.3639989002863867,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{15.74},,1.0,0.3639989002863867,-0.19801890614760276,0.09476150603363609,-0.1932084249071155,-0.18495408935407165,3,22.0,4.0
di1,-,cpp2,Random Forest,-0.19801890614760276,0.3639989002863867,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{11.09},,1.0,0.3639989002863867,-0.19801890614760276,0.11968978759475425,-0.0623760079631464,-0.03530414213223787,3,22.0,4.0
di1,-,roc2,Logistic Regression,-0.19801890614760276,0.3639989002863867,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{32.76},,1.0,0.3639989002863867,-0.19801890614760276,0.13235324548201044,-0.07659947753750228,-0.07869828693517822,3,22.0,4.0
di1,-,roc2,Naive Bayes,-0.19801890614760276,0.3639989002863867,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{35.36},,1.0,0.3639989002863867,-0.19801890614760276,0.09476150603363609,-0.1932084249071155,-0.18495408935407165,3,22.0,4.0
di1,-,roc2,Random Forest,-0.19801890614760276,0.3639989002863867,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Sex,Valid,{41.35},,1.0,0.3639989002863867,-0.19801890614760276,0.11968978759475425,-0.0623760079631464,-0.03530414213223787,3,22.0,4.0
