Pre,In_p,Post,Classifier,Mean Difference,Disparate Impact,Theil Index,Average Odds Difference,Equal Opportunity Difference,Accuracy,Precision,Recall,Dataset,Sens_Attr,Valid,Time,Failed,AUC,Orig Disparate Impact,Orig Mean Difference,Orig Theil,Orig Av Odds,Orig Eq Opp Diff,Score,Rank,Ovr_Rank
-,-,cpp1,Logistic Regression,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{0.71},,1.0,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,3,1.0,8.0
-,-,cpp1,Naive Bayes,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{0.29},,1.0,0.6240296610700021,-0.09771362793270641,0.0945244623995769,-0.12315440959591817,-0.130780922052544,3,1.0,8.0
-,-,cpp1,Random Forest,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{3.43},,1.0,0.6240296610700021,-0.09771362793270641,0.11896910989079917,-0.04824373980246469,-0.03982533593881932,3,1.0,2.0
-,-,roc1,Logistic Regression,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{24.32},,1.0,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,3,1.0,14.0
-,-,roc1,Naive Bayes,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{25.22},,1.0,0.6240296610700021,-0.09771362793270641,0.0945244623995769,-0.12315440959591817,-0.130780922052544,3,1.0,19.0
-,-,roc1,Random Forest,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{27.32},,1.0,0.6240296610700021,-0.09771362793270641,0.11896910989079917,-0.04824373980246469,-0.03982533593881932,3,1.0,14.0
-,pr1,roc2,-,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{156.86},,1.0,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,3,1.0,2.0
di1,-,cpp2,Logistic Regression,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{6.49},,1.0,0.6240296610700021,-0.09771362793270641,0.13325527745151644,0.028996628191760833,0.05485995512774122,3,1.0,8.0
di1,-,cpp2,Naive Bayes,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{6.43},,1.0,0.6240296610700021,-0.09771362793270641,0.0945244623995769,-0.12315440959591817,-0.130780922052544,3,1.0,8.0
di1,-,cpp2,Random Forest,-0.09771362793270641,0.6240296610700021,0.0,0.0,0.0,1.0,1.0,1.0,Adult,Race,Valid,{8.75},,1.0,0.6240296610700021,-0.09771362793270641,0.11896910989079917,-0.04824373980246469,-0.03982533593881932,3,1.0,8.0
